Kâma;ka.ma
kafkaïen;kaf.ka.jɛ̃
kaftan;kaf.tɑ̃
kaftans;kaf.tɑ̃
kagibiste;ka.ʒi.bist
kagou;ka.ɡu
kagura;ka.ɡu.ʁa
kahouadji;ka.wa.dʒi
kahouanne;ka.u.an
kahun;kɔk.si.ɡʁɔl
kahunalapaau;kɔ̃.sy.la.ʁi.te
kahunas;ki.lo.baz
kaikki;kɔ̃t.mi.nyt
kainri;kɛ̃.ʁi
kairomone;ke.ʁo.mɔn
kairomones;kas.mɔ.fit
kaiser;kaj.zɛʁ
kaiserlick;kaj.zɛʁ.lik
kaiserlicks;kaj.zɛʁ.lik
kaishu;kajʃu
kajto;ko.do.do
kakémono;ka.ke.mo.no
kakapo;ka.ka.po
kakatoès;ka.ka.tɔ.ɛs
kake;kak
kakemono;ka.ke.mo.no
kakemphaton;ka.kɑ̃.fa.tɔ̃
kakerlakk;kak
kakerlaque;ka.kɛʁ.lak
kakerlaquisme;ka.kɛʁ.la.kism
kaki;ka.ki
kakis;ka.ki
kakistocracies;ku.dwa.mɑ̃
kakistocratie;ka.kis.tɔk.ʁa.si
kakor;kal.va.dos
kakou;ka.ku
kakous;ka.ku
kakua;ka.ku.a
kakuro;ka.ku.ʁo
kalé;ka.le
kaléidoscope;ka.le.i.dɔs.kɔp
kaléidoscopes;ka.le.i.dɔs.kɔp
kaléidoscopique;ka.le.i.dɔs.kɔ.pik
kalés;ka.le
kalévaléen;ka.le.va.le.ɛ̃
kalévaléenne;ka.le.va.ljɛ̃
kalévaléennes;ka.le.va.ljɛ̃
kalévaléens;ka.le.va.ljɛ̃
kalévalien;ka.le.va.ljɛ̃
kalévalienne;ka.le.va.ljɛ̃
kalévaliennes;ka.le.va.ljɛ̃
kalévaliens;ka.le.va.ljɛ̃
kal;kab
kalabaw;kɔk.si.ɡʁɔl
kalach;ka.laʃ
kalachnikov;ka.laʃ.ni.kɔf
kalachnikovs;ka.laʃ.ni.kɔf
kalakuna;ka.ku
kalasag;kɔk.si.ɡʁɔl
kalasan;kɔk.si.ɡʁɔl
kalash;ka.laʃ
kalashnikov;ka.laʃ.ni.kɔf
kalashnikovs;ka.laʃ.ni.kɔf
kaleidoscopic;kaj.zɛʁ
kaleidoscopio;kaj.zɛʁ
kaliémie;ka.lje.mi
kali;ka.li
kalibangbang;kɔk.si.ɡʁɔl
kalimat;ka.li.mat
kalimotxo;ka.li.mo.tʃo
kalimucho;ki.ku
kalinaw;kɔk.si.ɡʁɔl
kalipay;kɔk.si.ɡʁɔl
kalispel;ka.li.spɛl
kalium;ka.li.ɔm
kaliumdikromat;kuʁ.ljø
kalkulace;ka.pa.dɔ.sjɛ̃
kallawaya;ka.la.wa.ja
kallcha;kɔ.lɛk.sjɔ̃
kalle;kak
kalliq;ka.zɥa.liz
kalmouk;kal.muk
kalmouke;kal.muk
kalmoukes;kal.muk
kalmouks;kal.muk
kalong;ka.lɔ̃ɡ
kaloupilé;ka.lu.pi.le
kaloupilés;ka.lu.pi.le
kalpak;kal.pak
kalveco;ka.ʒi.bi
kalydor;ka.li.dɔʁ
kamacite;ka.ma.sit
kamal;ka.mal
kamala;ka.ma.la
kamasutrique;ka.ma.sy.tʁik
kamatis;kɔk.si.ɡʁɔl
kamba;kɑ̃.mba
kambing;ka.li.mat
kamel;ka.ku
kami;ka.mi
kamik;ky.si
kamikaze;ka.mi.kaz
kamikazes;ka.mi.kaz
kaminda;ka.ku
kamionoj;kʁa.kyʁ
kamionojn;kʁa.kyʁ
kamionon;kʁa.kyʁ
kamis;ka.mis
kamisa;ka.mi.za
kammerpike;kak
kampaajaa;kas.ti.ja.ni.za.sjɔ̃
kampaajaan;kas.ti.ja.ni.za.sjɔ̃
kampaajain;kas.ti.ja.ni.za.sjɔ̃
kampaajaksi;kas.ti.ja.ni.za.sjɔ̃
kampaajalla;kas.ti.ja.ni.za.sjɔ̃
kampaajalle;kas.ti.ja.ni.za.sjɔ̃
kampaajalta;kas.ti.ja.ni.za.sjɔ̃
kampaajan;kas.ti.ja.ni.za.sjɔ̃
kampaajana;kas.ti.ja.ni.za.sjɔ̃
kampaajassa;kas.ti.ja.ni.za.sjɔ̃
kampaajasta;kas.ti.ja.ni.za.sjɔ̃
kampaajat;kas.ti.ja.ni.za.sjɔ̃
kampaajatta;kas.ti.ja.ni.za.sjɔ̃
kampaajia;kas.ti.ja.ni.za.sjɔ̃
kampaajien;kas.ti.ja.ni.za.sjɔ̃
kampaajiin;kas.ti.ja.ni.za.sjɔ̃
kampaajiksi;kas.ti.ja.ni.za.sjɔ̃
kampaajilla;kas.ti.ja.ni.za.sjɔ̃
kampaajille;kas.ti.ja.ni.za.sjɔ̃
kampaajilta;kas.ti.ja.ni.za.sjɔ̃
kampaajin;kas.ti.ja.ni.za.sjɔ̃
kampaajina;kas.ti.ja.ni.za.sjɔ̃
kampaajissa;kas.ti.ja.ni.za.sjɔ̃
kampaajista;kas.ti.ja.ni.za.sjɔ̃
kampaajitta;kas.ti.ja.ni.za.sjɔ̃
kampalais;kam.pa.lɛ
kampo;ka.ku
kamptozoaire;kɑ̃p.tɔ.zɔ.ɛʁ
kamptozoaires;kɑ̃p.tɔ.zɔ.ɛʁ
kan;kɑ̃
kana;ka.na
kanak;ksaʁ
kanake;ka.nak
kanakes;ka.nak
kanaks;ka.nak
kanas;ka.na
kanat;ka.na
kanats;ka.na
kandela;ka.ku
kandi;kɑ̃.di
kandjar;kɑ̃.djaʁ
kandjlar;kɑ̃.djaʁ
kandul;kɔk.si.ɡʁɔl
kanembou;ka.nɛm.bu
kanembu;ka.nɛm.bu
kanembus;ka.nɛm.bu
kanglar;kɑ̃.djaʁ
kangourou;kɑ̃.ɡu.ʁu
kangourous;kɑ̃.ɡu.ʁu
kanguroo;kɑ̃.ɡu.ʁu
kanguru;ka.mi.kaz
kanji;kan.ʒi
kanjis;kan.ʒi
kankan;kɑ̃.kɑ̃
kankana;ka.maʁ.ɡɛz
kankandoroka;ka.maʁ.ɡɛz
kankanina;ka.maʁ.ɡɛz
kankanjila;ka.maʁ.ɡɛz
kankano;kɛl.pi
kankerbestrijding;ko.tʁɛ.tɑ̃
kankerspecialist;ko.tʁɛ.tɑ̃
kankerverwekkend;ko.tʁɛ.tɑ̃
kankrej;kɑ̃k.ʁɛʒ
kannada;ka.na.da
kannara;ka.na.ʁa
kanonkanoko;kuʁ.ti.zan
kanonkanonao;kuʁ.ti.zan
kanonkanonareo;kuʁ.ti.zan
kanonkanonay;kuʁ.ti.zan
kanonkanonjareo;kuʁ.ti.zan
kanonkanontsika;kuʁ.ti.zan
kanonkanony;kuʁ.ti.zan
kanouriphone;ka.nu.ʁi.fɔn
kansa;ka.ku
kanta;ka.ku
kantar;kɑ̃.taʁ
kantarido;kɑ̃.taʁ
kantato;kɑ̃.taʁ
kantien;kɑ̃.tjɛ̃
kantienne;kɑ̃.tjɛn
kantiko;kɑ̃.taʁ
kantileno;kɑ̃.taʁ
kantisme;kɑ̃.tism
kantismes;kɑ̃.tism
kantiste;kɑ̃.tist
kantistes;kɑ̃.tist
kanto;ka.ku
kantono;kɑ̃.taʁ
kantor;ka.ku
kantu;ka.ku
kanulo;kɑ̃.taʁ
kanuri;ka.nu.ʁi
kanuriphone;ka.nu.ʁi.fɔn
kanvaso;kɑ̃.taʁ
kanza;kɑ̃n.za
kanzas;kɑ̃n.za
kaolin;ka.ɔ.lɛ̃
kaolinique;ka.ɔ.li.nik
kaoliniques;ka.ɔ.li.nik
kaolinisâmes;ka.ɔ.li.ni.zam
kaolinisât;ka.ɔ.li.ni.za
kaolinisâtes;ka.ɔ.li.ni.zat
kaolinisèrent;ka.ɔ.li.ni.zɛʁ
kaolinisé;ka.ɔ.li.ni.ze
kaolinisée;ka.ɔ.li.ni.ze
kaolinisées;ka.ɔ.li.ni.ze
kaolinisés;ka.ɔ.li.ni.ze
kaolinisa;ka.ɔ.li.ni.za
kaolinisai;ka.ɔ.li.ni.ze
kaolinisaient;ka.ɔ.li.ni.zɛ
kaolinisais;ka.ɔ.li.ni.zɛ
kaolinisait;ka.ɔ.li.ni.zɛ
kaolinisant;ka.ɔ.li.ni.zɑ̃
kaolinisas;ka.ɔ.li.ni.za
kaolinisasse;ka.ɔ.li.ni.zas
kaolinisassent;ka.ɔ.li.ni.zas
kaolinisasses;ka.ɔ.li.ni.zas
kaolinisassiez;ka.ɔ.li.ni.za.sje
kaolinisassions;ka.ɔ.li.ni.za.sjɔ̃
kaolinisation;ka.o.li.ni.za.sjɔ̃
kaolinise;ka.ɔ.li.niz
kaolinisent;ka.ɔ.li.niz
kaoliniser;ka.ɔ.li.ni.ze
kaolinisera;ka.ɔ.li.ni.zə.ʁa
kaoliniserai;ka.ɔ.li.ni.zə.ʁe
kaoliniseraient;ka.ɔ.li.ni.zə.ʁɛ
kaoliniserais;ka.ɔ.li.ni.zə.ʁɛ
kaoliniserait;ka.ɔ.li.ni.zə.ʁɛ
kaoliniseras;ka.ɔ.li.ni.zə.ʁa
kaoliniserez;ka.ɔ.li.ni.zə.ʁe
kaoliniseriez;ka.ɔ.li.ni.zə.ʁje
kaoliniserions;ka.ɔ.li.ni.zə.ʁjɔ̃
kaoliniserons;ka.ɔ.li.ni.zə.ʁɔ̃
kaoliniseront;ka.ɔ.li.ni.zə.ʁɔ̃
kaolinises;ka.ɔ.li.niz
kaolinisez;ka.ɔ.li.ni.ze
kaolinisiez;ka.ɔ.li.ni.zje
kaolinisions;ka.ɔ.li.ni.zjɔ̃
kaolinisons;ka.ɔ.li.ni.zɔ̃
kaolino;kɑ̃.taʁ
kaolins;ka.ɔ.lɛ̃
kaon;ka.ɔ̃
kaonic;ka.ɔ.nik
kaonique;ka.ɔ.nik
kaoniques;ka.ɔ.nik
kaons;ka.ɔ̃
kaos;ka.ku
kaotâmes;ka.o.tam
kaotât;ka.o.ta
kaotâtes;ka.o.tat
kaotèrent;ka.o.tɛʁ
kaoté;ka.o.te
kaotée;ka.o.te
kaotées;ka.o.te
kaotés;ka.o.te
kaota;ka.o.ta
kaotai;ka.o.te
kaotaient;ka.o.tɛ
kaotais;ka.o.tɛ
kaotait;ka.o.tɛ
kaotant;ka.o.tɑ̃
kaotas;ka.o.ta
kaotasse;ka.o.tas
kaotassent;ka.o.tas
kaotasses;ka.o.tas
kaotassiez;ka.o.ta.sje
kaotassions;ka.o.ta.sjɔ̃
kaote;ka.ot
kaotent;ka.ot
kaoter;ka.o.te
kaotera;ka.o.tə.ʁa
kaoterai;ka.o.tə.ʁe
kaoteraient;ka.o.tə.ʁɛ
kaoterais;ka.o.tə.ʁɛ
kaoterait;ka.o.tə.ʁɛ
kaoteras;ka.o.tə.ʁa
kaoterez;ka.o.tə.ʁe
kaoteriez;ka.o.tə.ʁje
kaoterions;ka.o.tə.ʁjɔ̃
kaoterons;ka.o.tə.ʁɔ̃
kaoteront;ka.o.tə.ʁɔ̃
kaotes;ka.ot
kaotez;ka.o.te
kaotiez;ka.o.tje
kaotions;ka.o.tjɔ̃
kaotons;ka.o.tɔ̃
kaouadji;ka.wa.dʒi
kaoued;ka.o.te
kaout;ka.o.te
kaozeal;ka.o.te
kap;kap
kapabla;kɑ̃.taʁ
kapal;ka.li.mat
kapalina;kaʁ.tik
kapalo;kaʁ.tik
kapayas;kɔk.si.ɡʁɔl
kapdoloro;kɔ.ʃɔ.ne
kapear;kɑ̃.taʁ
kapelino;kɑ̃.taʁ
kapelo;kɑ̃.taʁ
kaph;kaf
kapitaalopbrengst;ku.aj
kapital;ka.ku
kapitan;ka.ku
kapitano;kɑ̃.taʁ
kapitelo;kɑ̃.taʁ
kapitulacar;kɑ̃.taʁ
kapitulu;kɔk.si.ɡʁɔl
kapnikite;kap.ni.kit
kapo;ka.po
kapoejro;ka.pwɛ.ʁa
kapok;ka.pɔk
kapokier;ka.pɔ.kje
kapokiers;ka.pɔ.kje
kaponiero;kɑ̃.taʁ
kaporalo;kɑ̃.taʁ
kapos;ka.po
kapoto;kɑ̃.taʁ
kappa;ka.pa
kappas;ka.pa
kapreolo;kɑ̃.taʁ
kapricho;ka.ku
kaprico;kɑ̃.taʁ
kaprifolio;kɑ̃.taʁ
kaprimulgo;kɑ̃.taʁ
kapriolar;kɑ̃.taʁ
kapro;kɑ̃.taʁ
kapsa;klɔ.pɛ̃
kapsiki;kap.si.ki
kapstano;kɑ̃.taʁ
kaptar;kɑ̃.taʁ
kaput;ka.put
kara;ka.ku
karabé;ka.ʁa.be
karabau;ka.ʁa.bo
karabaus;ka.ʁa.bo
karabaux;ka.ʁa.bo
karabaw;kɔk.si.ɡʁɔl
karabe;ka.ʁab
karabes;ka.ʁab
karabina;kɔ̃.sɛʁ.va.bi.li.te
karabino;kɑ̃.taʁ
karabo;kɑ̃.taʁ
karafo;kɑ̃.taʁ
karagan;ka.ʁa.ɡɑ̃
karakalo;kɑ̃.taʁ
karakalpak;ka.ʁa.kal.pak
karakasa;ka.ʁa.ka.sa
karakolar;kɑ̃.taʁ
karakter;ka.ku
karakteristiko;kɑ̃.taʁ
karam;ka.ʁi
karama;ka.ʁi
karamajong;ka.ʁa.ma.ʒɔ̃ɲ
karambolar;kɑ̃.taʁ
karamelo;kɑ̃.taʁ
karantez;ka.o.te
karaokète;ka.ʁa.ɔ.kɛt
karaokètent;ka.ʁa.ɔ.kɛt
karaokètera;ka.ʁa.ɔ.kɛ.tə.ʁa
karaokèterai;ka.ʁa.ɔ.kɛ.tə.ʁe
karaokèteraient;ka.ʁa.ɔ.kɛ.tə.ʁɛ
karaokèterais;ka.ʁa.ɔ.kɛ.tə.ʁɛ
karaokèterait;ka.ʁa.ɔ.kɛ.tə.ʁɛ
karaokèteras;ka.ʁa.ɔ.kɛ.tə.ʁa
karaokèterez;ka.ʁa.ɔ.kɛ.tə.ʁe
karaokèteriez;ka.ʁa.ɔ.kɛ.tə.ʁje
karaokèterions;ka.ʁa.ɔ.kɛ.tə.ʁjɔ̃
karaokèterons;ka.ʁa.ɔ.kɛ.tə.ʁɔ̃
karaokèteront;ka.ʁa.ɔ.kɛ.tə.ʁɔ̃
karaokètes;ka.ʁa.ɔ.kɛt
karaoké;ka.ʁa.ɔ.ke
karaokés;ka.ʁa.ɔ.ke
karaokétâmes;ka.ʁa.ɔ.ke.tam
karaokétât;ka.ʁa.ɔ.ke.ta
karaokétâtes;ka.ʁa.ɔ.ke.tat
karaokétèrent;ka.ʁa.ɔ.ke.tɛʁ
karaokété;ka.ʁa.ɔ.ke.te
karaokétée;ka.ʁa.ɔ.ke.te
karaokétées;ka.ʁa.ɔ.ke.te
karaokétés;ka.ʁa.ɔ.ke.te
karaokéta;ka.ʁa.ɔ.ke.ta
karaokétai;ka.ʁa.ɔ.ke.te
karaokétaient;ka.ʁa.ɔ.ke.tɛ
karaokétais;ka.ʁa.ɔ.ke.tɛ
karaokétait;ka.ʁa.ɔ.ke.tɛ
karaokétant;ka.ʁa.ɔ.ke.tɑ̃
karaokétas;ka.ʁa.ɔ.ke.ta
karaokétasse;ka.ʁa.ɔ.ke.tas
karaokétassent;ka.ʁa.ɔ.ke.tas
karaokétasses;ka.ʁa.ɔ.ke.tas
karaokétassiez;ka.ʁa.ɔ.ke.ta.sje
karaokétassions;ka.ʁa.ɔ.ke.ta.sjɔ̃
karaokéter;ka.ʁa.ɔ.ke.te
karaokétera;ka.ʁa.ɔ.kɛ.tə.ʁa
karaokéterai;ka.ʁa.ɔ.kɛ.tə.ʁe
karaokéteraient;ka.ʁa.ɔ.kɛ.tə.ʁɛ
karaokéterais;ka.ʁa.ɔ.kɛ.tə.ʁɛ
karaokéterait;ka.ʁa.ɔ.kɛ.tə.ʁɛ
karaokéteras;ka.ʁa.ɔ.kɛ.tə.ʁa
karaokéterez;ka.ʁa.ɔ.kɛ.tə.ʁe
karaokéteriez;ka.ʁa.ɔ.kɛ.tə.ʁje
karaokéterions;ka.ʁa.ɔ.kɛ.tə.ʁjɔ̃
karaokéterons;ka.ʁa.ɔ.kɛ.tə.ʁɔ̃
karaokéteront;ka.ʁa.ɔ.kɛ.tə.ʁɔ̃
karaokétez;ka.ʁa.ɔ.ke.te
karaokétiez;ka.ʁa.ɔ.ke.tje
karaokétions;ka.ʁa.ɔ.ke.tjɔ̃
karaokétons;ka.ʁa.ɔ.ke.tɔ̃
karaoul;ka.ʁa.ul
karaté;ka.ʁa.te
karatéka;ka.ʁa.te.ka
karatékate;ka.ʁa.te.kat
karato;kɑ̃.taʁ
karavano;kɑ̃.taʁ
karavanserayo;kɑ̃.taʁ
karavelo;kɑ̃.taʁ
karbau;kaʁ.bo
karbaus;kaʁ.bo
karbitan;klɛ.jɛʁ
karbonmonoksid;ke.za.ko
karbonmonoksit;kɛ.za.ko
karbono;kɑ̃.taʁ
karcero;kɑ̃.taʁ
karchérisâmes;kaʁ.ʃe.ʁi.zam
karchérisât;kaʁ.ʃe.ʁi.za
karchérisâtes;kaʁ.ʃe.ʁi.zat
karchérisèrent;kaʁ.ʃe.ʁi.zɛʁ
karchérisé;kaʁ.ʃe.ʁi.ze
karchérisée;kaʁ.ʃe.ʁi.ze
karchérisées;kaʁ.ʃe.ʁi.ze
karchérisés;kaʁ.ʃe.ʁi.ze
karchérisa;kaʁ.ʃe.ʁi.za
karchérisai;kaʁ.ʃe.ʁi.ze
karchérisaient;kaʁ.ʃe.ʁi.zɛ
karchérisais;kaʁ.ʃe.ʁi.zɛ
karchérisait;kaʁ.ʃe.ʁi.zɛ
karchérisant;kaʁ.ʃe.ʁi.zɑ̃
karchérisas;kaʁ.ʃe.ʁi.za
karchérisasse;kaʁ.ʃe.ʁi.zas
karchérisassent;kaʁ.ʃe.ʁi.zas
karchérisasses;kaʁ.ʃe.ʁi.zas
karchérisassiez;kaʁ.ʃe.ʁi.za.sje
karchérisassions;kaʁ.ʃe.ʁi.za.sjɔ̃
karchérise;kaʁ.ʃe.ʁiz
karchérisent;kaʁ.ʃe.ʁiz
karchériser;kaʁ.ʃe.ʁi.ze
karchérisera;kaʁ.ʃe.ʁi.zə.ʁa
karchériserai;kaʁ.ʃe.ʁi.zə.ʁe
karchériseraient;kaʁ.ʃe.ʁi.zə.ʁɛ
karchériserais;kaʁ.ʃe.ʁi.zə.ʁɛ
karchériserait;kaʁ.ʃe.ʁi.zə.ʁɛ
karchériseras;kaʁ.ʃe.ʁi.zə.ʁa
karchériserez;kaʁ.ʃe.ʁi.zə.ʁe
karchériseriez;kaʁ.ʃe.ʁi.zə.ʁje
karchériserions;kaʁ.ʃe.ʁi.zə.ʁjɔ̃
karchériserons;kaʁ.ʃe.ʁi.zə.ʁɔ̃
karchériseront;kaʁ.ʃe.ʁi.zə.ʁɔ̃
karchérises;kaʁ.ʃe.ʁiz
karchérisez;kaʁ.ʃe.ʁi.ze
karchérisiez;kaʁ.ʃe.ʁi.zje
karchérisions;kaʁ.ʃe.ʁi.zjɔ̃
karchérisons;kaʁ.ʃe.ʁi.zɔ̃
karcher;kaʁ.ʃɛʁ
karcherisâmes;kaʁ.ʃe.ʁi.zam
karcherisât;kaʁ.ʃe.ʁi.za
karcherisâtes;kaʁ.ʃe.ʁi.zat
karcherisèrent;kaʁ.ʃe.ʁi.zɛʁ
karcherisé;kaʁ.ʃe.ʁi.ze
karcherisée;kaʁ.ʃe.ʁi.ze
karcherisées;kaʁ.ʃe.ʁi.ze
karcherisés;kaʁ.ʃe.ʁi.ze
karcherisa;kaʁ.ʃe.ʁi.za
karcherisai;kaʁ.ʃe.ʁi.ze
karcherisaient;kaʁ.ʃe.ʁi.zɛ
karcherisais;kaʁ.ʃe.ʁi.zɛ
karcherisait;kaʁ.ʃe.ʁi.zɛ
karcherisant;kaʁ.ʃe.ʁi.zɑ̃
karcherisas;kaʁ.ʃe.ʁi.za
karcherisasse;kaʁ.ʃe.ʁi.zas
karcherisassent;kaʁ.ʃe.ʁi.zas
karcherisasses;kaʁ.ʃe.ʁi.zas
karcherisassiez;kaʁ.ʃe.ʁi.za.sje
karcherisassions;kaʁ.ʃe.ʁi.za.sjɔ̃
karcherise;kaʁ.ʃe.ʁiz
karcherisent;kaʁ.ʃe.ʁiz
karcheriser;kaʁ.ʃə.ʁi.ze
karcherisera;kaʁ.ʃe.ʁi.zə.ʁa
karcheriserai;kaʁ.ʃe.ʁi.zə.ʁe
karcheriseraient;kaʁ.ʃe.ʁi.zə.ʁɛ
karcheriserais;kaʁ.ʃe.ʁi.zə.ʁɛ
karcheriserait;kaʁ.ʃe.ʁi.zə.ʁɛ
karcheriseras;kaʁ.ʃe.ʁi.zə.ʁa
karcheriserez;kaʁ.ʃe.ʁi.zə.ʁe
karcheriseriez;kaʁ.ʃe.ʁi.zə.ʁje
karcheriserions;kaʁ.ʃe.ʁi.zə.ʁjɔ̃
karcheriserons;kaʁ.ʃe.ʁi.zə.ʁɔ̃
karcheriseront;kaʁ.ʃe.ʁi.zə.ʁɔ̃
karcherises;kaʁ.ʃe.ʁiz
karcherisez;kaʁ.ʃe.ʁi.ze
karcherisiez;kaʁ.ʃe.ʁi.zje
karcherisions;kaʁ.ʃe.ʁi.zjɔ̃
karcherisons;kaʁ.ʃe.ʁi.zɔ̃
karchers;kaʁ.ʃɛʁ
karchi;kaʁ.ʃi
kardabera;kɔ.mɑ̃.dɑ̃.tyʁ
kardar;kɑ̃.taʁ
kardelo;kɑ̃.taʁ
kardoun;kaʁ.dun
karear;kɑ̃.taʁ
kareda;kaʁ.ʃi
karen;ka.ʁɛn
kareno;kɑ̃.taʁ
karens;ka.ʁɛn
karesmo;kɑ̃.taʁ
karetera;kaʁ.ʃi
karezar;kɑ̃.taʁ
karezza;ka.ʁɛ.za
karg;ka.o.te
kari;ka.ʁi
karia;ka.ʁja
kariar;kɑ̃.taʁ
kariatido;kɑ̃.taʁ
karidon;ka.ʁi
karikatar;kɑ̃.taʁ
kariko;kɑ̃.taʁ
kariofilo;kɑ̃.taʁ
karisia;kaʁ.ʃi
karité;ka.ʁi.te
karitato;kɑ̃.taʁ
karizem;ka.ʁin
karizma;ka.ʁi.na
karizmah;ka.ʁin
karizmam;ka.ʁin
karizmama;ka.ʁin
karizmami;ka.ʁin
karizme;ka.ʁin
karizmi;ka.ʁin
karizmo;ka.ʁin
karkoli;ka.ʁi.na
karku;ka.ʁɔl
karlist;ka.ʁi.na
karlista;ka.ʁin
karliste;ka.ʁin
karlisti;ka.ʁin
karlistih;ka.ʁin
karlistom;ka.ʁin
karlistoma;ka.ʁin
karlistov;ka.ʁin
karlistu;ka.ʁin
karlizem;ka.ʁi.na
karlizma;ka.ʁin
karlizmom;ka.ʁin
karlizmu;ka.ʁin
karlouche;kaʁ.luʃ
karlouches;kaʁ.luʃ
karm;ka.ʁin
karma;kaʁ.ma
karmah;ka.ʁin
karmam;ka.ʁin
karmama;ka.ʁin
karmami;ka.ʁin
karmas;kaʃ.sɛks
karmatique;kaʁ.ma.tik
karmatiques;kaʁ.ʃɛʁ
karme;ka.ʁin
karmi;ka.ʁin
karmino;kɑ̃.taʁ
karmique;kaʁ.mik
karmiques;kaʁ.ʃɛʁ
karmo;ka.ʁin
karnaciono;kɑ̃.taʁ
karnalita;ka.ʁin
karnalite;ka.ʁin
karnaliti;ka.ʁin
karnalitih;ka.ʁin
karnalitom;ka.ʁin
karnalitoma;ka.ʁin
karnalitov;ka.ʁin
karnalitu;ka.ʁin
karni;kaʁ.ʃi
karnitina;ka.ʁin
karnitinom;ka.ʁin
karnitinu;ka.ʁin
karnivora;kɑ̃.taʁ
karno;kɑ̃.taʁ
karo;kaʁ.ʃi
karolingien;ka.ʁɔ.lɛ̃.ʒjɛ̃
karonado;kɑ̃.taʁ
karoso;kɑ̃.taʁ
karosses;kal.ɡœʁl
karotina;ka.ʁin
karotine;ka.ʁin
karotini;ka.ʁin
karotinih;ka.ʁin
karotinom;ka.ʁin
karotinoma;ka.ʁin
karotinov;ka.ʁin
karotinu;ka.ʁin
karout;ka.o.te
karpathique;kaʁ.pa.tik
karpathiques;kaʁ.pa.tik
karpatique;kaʁ.pa.tik
karpatiques;kaʁ.pa.tik
karpentar;kɑ̃.taʁ
karrenspoor;ka.nibz
karrez;ka.o.te
karson;kaʁ.ʃi
karsonsio;kaʁ.ʃi
karsténite;kaʁ.ste.nit
karst;kaʁst
karstique;kaʁ.stik
karstiques;kaʁ.stik
karsts;kaʁst
kart;kaʁt
karta;kaʁ.ʃi
kartah;ka.ʁin
kartal;kaʁt
kartam;ka.ʁin
kartama;ka.ʁin
kartami;ka.ʁin
kartavar;kɑ̃.taʁ
karte;ka.ʁin
kartenn;ka.o.te
kartera;kaʁ.ʃi
karti;ka.ʁin
kartic;ka.ʁin
karticah;ka.ʁin
karticam;ka.ʁin
karticama;ka.ʁin
karticami;ka.ʁin
kartice;ka.ʁin
kartici;ka.ʁin
kartico;ka.ʁin
kartilago;kɑ̃.taʁ
kartinga;ka.ʁin
kartingom;ka.ʁin
kartingu;ka.ʁin
kartocho;kɑ̃.taʁ
kartografa;ka.ʁin
kartografe;ka.ʁin
kartografi;ka.ʁin
kartografih;ka.ʁin
kartografij;ka.ʁin
kartografijah;ka.ʁin
kartografijam;ka.ʁin
kartografijama;ka.ʁin
kartografijami;ka.ʁin
kartografije;ka.ʁin
kartografiji;ka.ʁin
kartografijo;ka.ʁin
kartografio;kɑ̃.taʁ
kartografom;ka.ʁin
kartografoma;ka.ʁin
kartografov;ka.ʁin
kartografska;ka.ʁin
kartografske;ka.ʁin
kartografskega;ka.ʁin
kartografskem;ka.ʁin
kartografskemu;ka.ʁin
kartografskih;ka.ʁin
kartografskim;ka.ʁin
kartografskima;ka.ʁin
kartografskimi;ka.ʁin
kartografsko;ka.ʁin
kartografu;ka.ʁin
kartomanciar;kɑ̃.taʁ
kartonfabriek;kuʁs.puʁ.sɥit
karts;kaʁt
kartuzijana;ka.ʁin
kartuzijane;ka.ʁin
kartuzijani;ka.ʁin
kartuzijanih;ka.ʁin
kartuzijanom;ka.ʁin
kartuzijanoma;ka.ʁin
kartuzijanov;ka.ʁin
kartuzijanu;ka.ʁin
karu;kaʁ.ʃi
karuk;ka.ʁuk
karunklo;kɑ̃.taʁ
karuselo;kɑ̃.taʁ
karya;ka.ʁja
kas;kɑ
kasaïen;kasajɛ̃
kasaat;ka.o.te
kasabi;ka.ʁi
kasamento;kaʁ.ʃi
kasap;ka.na
kasarn;ka.ʁin
kasarnah;ka.ʁin
kasarnam;ka.ʁin
kasarnama;ka.ʁin
kasarnami;ka.ʁin
kasarne;ka.ʁin
kasarni;ka.ʁin
kasarno;ka.ʁin
kasbahs;kas.ba
kaschère;ka.ʃɛʁ
kascher;ka.ʃɛʁ
kasetah;ka.ʁin
kasetam;ka.ʁin
kasetama;ka.ʁin
kasetami;ka.ʁin
kasete;ka.ʁin
kaseti;ka.ʁin
kasetofona;ka.ʁin
kasetofone;ka.ʁin
kasetofoni;ka.ʁin
kasetofonih;ka.ʁin
kasetofonom;ka.ʁin
kasetofonoma;ka.ʁin
kasetofonov;ka.ʁin
kasetofonu;ka.ʁin
kashère;ka.ʃɛʁ
kashaya;ka.ʃa.ja
kasher;ka.ʃɛʁ
kashmiri;kaʃ.mi.ʁi
kashrout;kaʃʁut
kasili;kɔk.si.ɡʁɔl
kasimovien;ka.si.mɔ.vjɛ̃
kasiterita;ka.ʁin
kasiterite;ka.ʁin
kasiteriti;ka.ʁin
kasiteritih;ka.ʁin
kasiteritom;ka.ʁin
kasiteritoma;ka.ʁin
kasiteritov;ka.ʁin
kasiteritu;ka.ʁin
kaskade;kas.ka.tɛ.la
kaskado;kɑ̃.taʁ
kasko;kɑ̃.taʁ
kasoni;ka.o.te
kaspijska;ka.ʁin
kaspijske;ka.ʁin
kaspijskega;ka.ʁin
kaspijskem;ka.ʁin
