Kâma;ka.ma
Kidal;ki.dal
Kidalois;ki.da.lwa
Kieme;ka.ve
Kiev;kjɛv
Kigali;ki.ɡa.li
Kigalien;ki.ɡa.ljɛ̃
Kigalois;ki.ɡa.lwa
Kiiv;ki.iv
Kijev;ki.iv
Kim;kim
Kimméridgien;ki.me.ʁi.dʒjɛ̃
Kin;kin
Kinchasa;kin.ʃa.sa
Kinects;ki.nɛkt
Kinh;kin
Kinnearois;ki.ni.ʁwa
Kinois;ki.nwa
Kinshasa;kin.ʃa.sa
Kio;ki.bi.ɔk.tɛ
Kipawais;ki.pa.wɛ
Kippe;ka.ta.na
Kira;ki.pa
Kire;ki.pa
Kirghize;kiʁ.ɡiz
Kirghizes;kiʁ.ɡiz
Kirghizistan;kiʁ.ɡi.zi.stɑ̃
Kirgisia;kiʁ.ɡi.zi.stɑ̃
Kirgizië;kiʁ.ɡi.zi.stɑ̃
Kirgizio;kiʁ.ɡi.zi.stɑ̃
Kirgizistana;ki.pa
Kirgizistanom;ki.pa
Kirgizistanu;ki.pa
Kiri;ki.pa
Kiribati;ki.ʁi.ba.ti
Kiribatien;ki.ʁi.ba.sjɛ̃
Kiribatienne;ki.ʁi.ba.sjɛn
Kiribatija;ki.pa
Kiribatijem;ki.pa
Kiribatiju;ki.pa
Kirih;ki.pa
Kirila;ki.pa
Kirile;ki.pa
Kirili;ki.pa
Kirilih;ki.pa
Kirilom;ki.pa
Kiriloma;ki.pa
Kirilov;ki.pa
Kirilu;ki.pa
Kirmeskuchen;ka.ta.na
Kirom;ki.pa
Kiroma;ki.pa
Kirov;ki.pa
Kirsi;kiʁ.si
Kirsten;ka.ʁin
Kirstenar;ka.ʁin
Kiru;ki.pa
Kisangani;ki.san.ɡa.ni
Kitajca;ki.pa
Kitajce;ki.pa
Kitajcem;ki.pa
Kitajcema;ki.pa
Kitajcev;ki.pa
Kitajci;ki.pa
Kitajcih;ki.pa
Kitajcu;ki.pa
Kitajk;ki.pa
Kitajkah;ki.pa
Kitajkam;ki.pa
Kitajkama;ki.pa
Kitajkami;ki.pa
Kitajke;ki.pa
Kitajki;ki.pa
Kitajko;ki.pa
Kitajske;ki.pa
Kitajski;ki.pa
Kitajsko;ki.pa
Kitchener;kit.ʃə.nœʁ
Kitsch;kwaʁts
Kiviuq;ki.vjuk
Kjalar;ka.ʁin
Kjalari;ka.ʁin
Kjalars;ka.ʁin
Kjallak;ka.ʁin
Kjallaki;ka.ʁin
Kjallaks;ka.ʁin
Kjallakur;ka.ʁin
Kjalvarar;ka.ʁin
Kjaran;ka.ʁin
Kjarani;ka.ʁin
Kjarans;ka.ʁin
Kjartan;ka.ʁin
Kjartani;ka.ʁin
Kjartans;ka.ʁin
Kjota;ki.pa
Kjotom;ki.pa
Kjotu;ki.pa
Klæng;ka.ʁin
Klængi;ka.ʁin
Klængs;ka.ʁin
Klængur;ka.ʁin
Klammer;ka.ta.na
Klar;ki.pa
Klara;ka.ʁin
Klarah;ki.pa
Klaram;ki.pa
Klarama;ki.pa
Klarami;ki.pa
Klare;ki.pa
Klari;ki.pa
Klaric;ki.pa
Klaricah;ki.pa
Klaricam;ki.pa
Klaricama;ki.pa
Klaricami;ki.pa
Klarice;ki.pa
Klarici;ki.pa
Klarico;ki.pa
Klaro;ki.pa
Klatschmohn;ka.ta.na
Klemens;ka.ʁin
Klemenz;ka.ʁin
Kleptokratie;klɛp.tɔk.ʁa.tik
Kletterpflanze;ka.ta.na
Klettersteig;ka.ta.na
Kliko;kli.ko
Klimawandel;kal.ba.sje
Klingonne;klɛ̃.ɡɔn
Klingonnes;klɛ̃.ɡɔn
Klingons;klɛ̃.ɡɔ̃
Klinik;kal.ba.sje
Klipertono;kli.pœʁ.tɔn
Klischee;ka.ta.na
Klo;ka.ta.na
Klops;kal.ba.sje
Klub;ka.ta.na
Knabe;kal.ba.sje
Knarrar;ka.ʁin
Knesset;knɛ.sɛt
Knete;kal.ba.sje
Knorpel;kal.ba.sje
Kobé;ko.be
Kobané;kɔ.ba.ne
Kobanê;kɔ.ba.ne
Kobani;ko.ba.ni
Koekelberg;ku.kəl.bɛʁɡ
Koepangers;kaʁt
Kofferwort;ka.bin.dɛ
Kohlenmonoxid;kɛ.za.ko
Kohlenoxyd;kɛ.za.ko
Kohlenstoffmonooxid;kɛ.za.ko
Kohlenstoffmonoxid;kɛ.za.ko
Kol;ka.ʁin
Kolbein;ka.ʁin
Kolbeini;ka.ʁin
Kolbeinn;ka.ʁin
Kolbeins;ka.ʁin
Kolbirni;ka.ʁin
Kolbjargar;ka.ʁin
Kolfinn;ka.ʁin
Kolfinna;ka.ʁin
Kolfinni;ka.ʁin
Kolfinns;ka.ʁin
Kolfinnu;ka.ʁin
Kolfinnur;ka.ʁin
Kolfreyja;ka.ʁin
Kolfreyju;ka.ʁin
Koli;ka.ʁin
Kolka;ka.ʁin
Kolku;ka.ʁin
Kollision;ka.ta.na
Kollokation;ka.ta.na
Kolmar;ka.ʁin
Kolmari;ka.ʁin
Kolmars;ka.ʁin
Koloko;kɔ.lɔ.ko
Kols;ka.ʁin
Kolskegg;ka.ʁin
Kolskeggi;ka.ʁin
Kolskeggjar;ka.ʁin
Kolskeggur;ka.ʁin
Kolur;ka.ʁin
Komachi;ko.ma.ʃi
Kombinatorik;kal.ba.sje
Kommandantur;kɔ.mɑ̃.dɑ̃.tyʁ
Kommandanturs;kɔ.mɑ̃.dɑ̃.tyʁ
Kommerzialisierung;ka.ta.na
Kommilitone;kal.ba.sje
Kommodus;ko.mo.do
Kommunismus;ka.ta.na
Komod;ko.mo.do
Komodo;ko.mo.do
Komoorid;kɔ.mɔʁ
Komoren;kɔ.mɔʁ
Komori;kɔ.mɔʁ
Komparation;kɔ.ʁe.ɡʁaf
Kompositum;ka.ta.na
Komsomol;kɔm.so.mɔl
Kona;kɔ.na
Konfusion;ku.kəl.bɛʁɡ
Kongo;kɔn.ɡo
Kongolese;kɔn.ɡo
Kongolesin;kɔn.ɡo
Konisation;kɔ.ni.za.sjɔ̃
Konklusion;ka.ta.na
Konkurrenz;ka.ta.na
Konsequenz;ka.ʁə.ʁa
Konsistenz;ka.ta.na
Konsommee;ka.ta.na
Konstancja;kɔ̃s.tɑ̃s
Konstantinopel;ka.ta.na
Konstanz;kɔ̃s.tɑ̃s
Kontext;ka.ta.na
Konto;kɔn.ɡo
Kontrabass;kɔn.ɡo
Kontravarianz;kɔ̃.tʁa.va.ʁjɑ̃s
Kontur;kɔn.ɡo
Konvoi;ka.ta.na
Konzern;kɔnt.sɛʁn
Kooperation;kɔnt.sɛʁn
Kopie;kɔn.ɡo
Kopula;kɔnt.sɛʁn
Koralle;kɔn.ɡo
Koran;kɔ.ʁɑ̃
Korbball;kʁe.dib.lə.mɑ̃
Kordié;kɔʁ.dje
Korduan;kɔn.ɡo
Koreakrieg;kɔn.ɡo
Koreaner;kɔn.ɡo
Koreanerin;kɔn.ɡo
Koreanisch;ka.ta.na
Korken;kɔnt.sɛʁn
Kormoran;kaʁ.pɔ.faʒ
Kornblume;ka.ta.na
Korneliusz;kɔʁ.nɛj
Korrelation;kɔnt.sɛʁn
Korsar;kɔnt.sɛʁn
Korsimoro;kɔʁ.si.mɔ.ʁo
Korso;ka.ta.na
Kosewort;kɔ.lum.bja
Koska;kɔs.ka
Koskas;kɔs.ka
Kosmetik;kɔn.ɡo
Kosmonaut;ka.ta.na
Kosovans;kɔ.sɔ.vaʁ
Kosovar;kɔ.sɔ.vaʁ
Kosovare;kɔ.sɔ.vaʁ
Kosovares;kɔ.sɔ.vaʁ
Kosovars;kɔ.sɔ.vaʁ
Kosovo;ko.so.vo
Kossacks;kʁa.po.din
Kossi;kɔ.si
Kossouka;kɔ.su.ka
Kossovar;kɔ.sɔ.vaʁ
Koti;kɔ.ti
Koubri;ku.bʁi
Kougny;ku.ɲi
Kouka;ku.ka
Koumbia;kum.bja
Koumbri;kum.bʁi
Koungourien;kun.ɡu.ʁjɛ̃
Koupéla;ku.pe.la
Kouri;ku.ʁi
Kouriles;ku.ʁil
Kourouma;ku.ʁu.ma
Koutialais;ku.tja.lɛ
Kovarianz;kɔ̃.tʁa.va.ʁjɑ̃s
Koweït;ko.wɛjt
Koweïtien;kɔ.wɛj.tjɛ̃
Koweïtienne;kɔ.wɛj.tjɛn
Koweïtiennes;kɔ.wɛj.tjɛn
Koweïtiens;kɔ.wɛj.tjɛ̃
Kpuéré;kpye.ʁe
Krëpp;kʁɔ.nɔ.me.tʁɑʒ
Krëppchen;kʁɔ.nɔ.me.tʁɑʒ
Krüppel;ka.ta.na
Krabbe;kɔn.ɡo
Krankenpflege;ka.ta.na
Krankenversicherung;kɔn.ɡo
Krankheit;kɔ̃.sti.ty.sjɔ̃
Kranz;kɔ.ʁe.a.ni.za.sjɔ̃
Kraton;kʁa.tɔ̃
Kredit;ka.ta.na
Kreisel;kɔn.ɡo
Kreml;ku.aj
Kremlin;kʁɛm.lɛ̃
Krichna;kʁi.ʃna
Kriols;ka.zak
Krippe;kʁo.no.me.tʁœʁ
Kristall;ko.tɛl
Kriterium;ka.ta.na
Krk;kɛʁk
Kroate;kɔn.ɡo
Kroatin;kɔn.ɡo
Kroatio;kʁo.a.si
Kronos;kʁɔ.nos
Krypton;kʁip.tɔ̃
Ksenia;kse.nja
Ksenija;kse.ni.ja
Ksenja;kse.ni.ja
Ksenjo;kse.ni.ja
Kubaner;kɔn.ɡo
Kubanerin;kɔn.ɡo
Kubla;kyb.la
Kuelemonoxid;kapsɛ̃
Kuelenoxyd;kɛ.za.ko
Kuelestoffmonoxid;kɛ.za.ko
Kuhar;ka.dʁi.ʁɛm
Kukavice;ka.dʁi.ʁɛm
Kumer;ka.dʁi.ʁɛm
Kumin;ka.dʁi.ʁɛm
Kumquat;ka.ta.na
Kun;ka.dʁi.ʁɛm
Kunc;ka.dʁi.ʁɛm
Kundenkalkulation;ka.ta.na
Kundgebung;kɔn.ɡo
Kundiawa;kun.dja.wa
Kune;ka.dʁi.ʁɛm
Kunej;ka.dʁi.ʁɛm
Kunene;ku.ne.ne
Kungurien;kun.ɡu.ʁjɛ̃
Kunigunda;ka.dʁi.ʁɛm
Kuppel;kɔn.ɡo
Kuration;ka.ta.na
Kurde;kyʁd
Kurdes;ki.lɔ.ka.lɔ.ʁi
Kurdistan;kuʁ.di.stɑ̃
Kurve;ka.ta.na
Kutscher;ka.ta.na
Kuujjuamiuq;ku.u.dʒu.wa.mjuk
