Gâprée;ɡʁɑ.pe
Gentil;ʒɑ̃.ti
Gentillais;ʒɑ̃.ti.jɛ
Gentillois;ʒɑ̃.ti.jwa
Gentilly;ʒɑ̃.ti.ji
Gentils;ʒɑ̃.ti
Gentyllais;ʒɑ̃.ti.jɛ
Genua;ʒe.nwa
Genval;ʒɛn.val
Geoffroy;ʒɔ.fʁwa
Georgeois;ʒɔʁ.ʒwa
Georges;ʒɔʁʒ
Georgetown;ʒɔʁʒ.tɔn
Georgette;ʒɔʁ.ʒɛt
Georgie;ʒɔʁ.ʒi
Georgien;ʒɔʁ.ʒjɛ̃
Georgine;ʒɔʁ.ʒin
Ger;ʒɛʁ
Gerbe;ʒɛʁb
Gerde;ʒɛʁd
Germain;ʒɛʁ.mɛ̃
Germaine;ʒɛʁ.mɛn
Germaines;ʒeʁ.mɛ̃
Germainien;ʒɛʁ.mɛ.njɛ̃
Germainois;ʒɛʁ.mɛ.nwa
Germains;ʒeʁ.mɛ̃
Germanique;ʒɛʁ.ma.nik
Germaniques;ʒə.nɛz
Germano;ɡʁi.maʒ
Germanois;ʒɛʁ.ma.nwa
Germinià;ʒi.ɛf.kɑ
Gerold;ʒi.ɛf.kɑ
Gerrots;ʒɛ.ʁɔ
Gers;ʒɛʁs
Gersoise;ʒɛʁ.swaz
Gersoises;ʒɛʁ.swaz
Gertrude;ʒɛʁ.tʁyd
Gervais;ʒɛʁ.vɛ
Gervaise;ʒɛʁ.vɛz
Gestapo;ɡe.sta.po
Getuli;ʒi.ɛf.kɑ
Gex;ʒɛks
Geza;ʒɛʁ.tʁyd
Ghana;ɡa.na
Ghislain;ɡi.lɛ̃
Ghislaine;ɡi.lɛn
Giamaica;ɡas.pi.je
Giappone;ʒe.ne.ʁø
Giberville;ʒi.bəʁ.vil
Gibraltar;ʒi.bʁal.taʁ
Gibraltarien;ʒi.bʁal.ta.ʁjɛ̃
Gibraltarienne;ʒi.bʁal.ta.ʁjɛn
Gibraltariennes;ʒi.bʁal.ta.ʁjɛn
Gibraltariens;ʒi.bʁal.ta.ʁjɛ̃
Gieck;ɡik
Giffardois;ʒi.faʁ.dwa
Gigi;ʒi.ʒi
Gignac;ʒi.ɲak
Gignoux;ʒi.nuks
Gilbert;ʒil.bɛʁ
Gilbertain;ʒil.bɛʁ.tɛ̃
Gilberte;ʒil.bɛʁt
Gilberthe;ʒil.bɛʁt
Gilbertin;ʒil.bɛʁ.tɛ̃
Gilbertine;ʒil.bɛʁ.tin
Gildas;ʒil.das
Gilette;ʒi.lɛt
Gille;ʒil
Gilles;ʒil
Gillois;ʒi.lwa
Gillot;ʒi.lo
Gilois;ʒi.lwa
Ginai;ʒi.nɛ
Gineta;ʒɛʁ.tʁyd
Ginette;ʒi.nɛt
Ginhac;ʒe.mɔ.te
Ginouillac;ʒinujak
Girafe;ʒi.ʁaf
Girardvillois;ʒi.ʁaʁ.vi.lwa
Girolles;ʒi.ʁɔl
Gironde;ʒi.ʁɔ̃d
Girondine;ʒi.ʁɔ̃.din
Girondines;ʒi.ʁɔ̃.din
Girondins;ʒi.ʁɔ̃.dɛ̃
Gisèle;ʒi.zɛl
Giscard;ʒis.kaʁ
Gisela;ʒɛʁ.tʁyd
Gisele;ʒɛʁ.tʁyd
Giselle;ʒi.zɛl
Gislaine;ʒis.lɛn
Gita;ʒɛʁ.tʁyd
Gitica;ʒɛʁ.tʁyd
Givétien;ʒi.ve.sjɛ̃
Gizeh;ɡi.zɛ
Gizela;ʒɛʁ.tʁyd
Gizella;ʒɛʁ.tʁyd
Gizi;ʒɛʁ.tʁyd
Gladek;ʒɛʁ.tʁyd
Gladys;ɡij.mɑ̃
Glandu;ɡlɑ̃.dy
Glanville;ɡlɑ̃.vil
Glaschu;ɡlas.ɡo
Glasgovia;ɡlas.ɡo
Glasgovo;ɡlas.ɡo
Glasgow;ɡlas.ɡo
Glasvégien;ɡlas.ve.ʒjɛ̃
Glaswégien;ɡlas.ve.ʒjɛ̃
Glazgas;ɡlas.ɡo
Glesga;ɡlas.ɡo
Glicourtais;ɡli.kuʁ.tɛ
Glock;ɡlɔk
Glos;ɡlɔ
Glx;ʒi.ɡa.lyks
Glycère;ɡli.sɛʁ
Gnagna;ɲa.ɲa
Goa;ɡo.a
Godard;ɡɔ.daʁ
Godartville;ɡo.daʁ.vil
Godboutois;ɡɔd.bu.twa
Godefroy;ɡɔd.fʁwa
Godisson;ɡɔ.di.sɔ̃
Godmancastrien;ɡɔd.mɑ̃.kas.tʁi.jɛ̃
Godon;ɡɔ.dɔ̃
Godons;ɡɔ.dɔ̃
Godvicien;ɡɔd.vi.sjɛ̃
Godzilla;ɡɔd.zi.la
Godzillas;ɡɔd.zi.la
Goethe;ɡøt
Goffin;ɡɔ.fɛ̃
Goguryeo;ɡo.ɡu.ʁjɔ
Goldschopfpinguin;ɡɔʁ.fu.dɔ.ʁe
Golfe;ɡɔlf
Golfien;ɡɔl.fjɛ̃
Goliath;ɡɔ.ljat
Gombe;ɡɔ̃m.be
Gomphe;ɡɔ̃f
Goncourt;ɡɔ̃.kuʁ
Gonfrevillais;ɡɔ̃.fʁə.vi.lɛ
Gonfrevillaise;ɡɔ̃.fʁə.vi.lɛz
Gonfrevillaises;ɡɔ̃.fʁə.vi.lɛ
Gonguè;ɡɔ̃.ɡɛ
Gongué;ɡɔ̃.ɡe
Gonthier;ɡɔ̃.tje
Gontran;ɡɔ̃.tʁɑ̃
Gontrand;ɡɔ̃.tʁɑ̃
Gonzague;ɡɔ̃.zaɡ
Gonzaguois;ɡɔ̃.za.ɡwa
Google;ɡu.ɡœl
Goossens;ɡo.sɛns
Gorgo;ɡɔʁ.ɡo
Gorois;ɡɔ.ʁwa
Gorstien;ɡɔʁ.stjɛ̃
Goth;ɡɔ.t
Gotha;ɡɔ.ta
Gouézec;ɡwe.zɛk
Goulet;ɡu.lɛ
Goupillières;ɡu.pi.jɛʁ
Gourfaleur;ɡuʁ.fa.lœʁ
Goustranville;ɡus.tʁɑ̃.vil
Goynishois;ɡɔj.ni.ʃwa
Gràcia;ɡas.tʁo.ɛ̃.tɛs.ti.nal
Grâce;ɡʁɑs
Grâces;ɡʁɑs
Grænland;ɡʁɔ.ɛn.lɑ̃d
Grèce;ɡʁɛs
Grève;ɡʁɛv
Grégoire;ɡʁe.ɡwaʁ
Grégoirien;ɡʁe.ɡwa.ʁjɛ̃
Grégorien;ɡʁe.ɡɔ.ʁjɛ̃
Grégory;ɡʁe.ɡɔ.ʁi
Grénevilloises;ɡʁen.vi.lwaz
Grésivaudan;ɡʁe.zi.vo.dɑ̃
Grézacais;ɡʁe.za.kɛ
Graal;ɡʁa.al
Grace;ɡʁɑs
Gracefieldois;ɡʁes.fil.dwa
Gradivus;ɡlo.ki.sim
Graecus;ɡʁa.dys
Grail;ʒle.kɔm.œ̃k.ʁə.tɔ̃
Graisivaudan;ɡʁe.zi.vo.dɑ̃
Gramscian;ɡʁam.skjɛn
Granada;ɡʁa.na.da
Granadien;ɡʁa.na.djɛ̃
Granadinas;ɡʁə.na.din
Granadois;ɡʁa.na.dwa
Granbéen;ɡʁan.be.ɛ̃
Granbasilois;ɡʁɑ̃.ba.zi.lwa
Granby;ɡʁan.bi
Granbyen;ɡʁan.bi.ɛ̃
Granbygeois;ɡʁan.bi.ʒwa
Granbyien;ɡʁan.bi.jɛ̃
Grandbasilois;ɡʁɑ̃.ba.zi.lwa
Grandbien;ɡʁɑ̃.bjɛ̃
Grandillois;ɡʁɑ̃.di.lwa
Grandilois;ɡʁɑ̃.di.lwa
Grandmèrois;ɡʁɑ̃.mɛ.ʁwa
Grandméraud;ɡʁɑ̃.me.ʁo
Grandmérauds;ɡʁɑ̃.me.ʁo
Grandmérois;ɡʁɑ̃.me.ʁwa
Grandvallière;ɡʁɑ̃.va.ljɛʁ
Grandvallières;ɡʁɑ̃.va.ljɛʁ
Grandvalliers;ɡʁɑ̃.va.lje
Grandvilliers;ɡʁɑ̃.vi.lje
Grane;ɡʁan
Grangues;ɡʁɑ̃ɡ
Granit;ʒy.ljɑ̃
Granpilois;ɡʁɑ̃.pi.lwa
Granthamien;ɡʁɑ̃.ta.mjɛ̃
Granvillais;ɡʁɑ̃.vi.lɛ
Granvillaise;ɡʁɑ̃.vi.lɛz
Granville;ɡʁɑ̃.vil
Grappa;ʒi.ʁa.fɔ̃
Grasse;ɡʁas
Grasspontin;ɡʁas.pɔ̃.tɛ̃
Gratien;ɡʁa.sjɛ̃
Grau;ʒe.vi.swa
Graulhet;ɡʁo.je
Graulhetois;ɡʁo.je.twa
Gravelotte;ɡʁav.lɔt
Gravettien;ɡʁa.vɛ.tjɛ̃
Gravières;ɡʁa.vjɛʁ
Gray;ɡʁe
Grec;ɡʁɛk
Grecque;ɡʁɛk
Grecques;ɡʁɛk
Grecs;ɡʁɛk
Greenland;ɡʁɔ.ɛn.lɑ̃d
Greenwich;ɡʁi.nitʃ
Greg;ɡʁɛɡ
Gregarinasina;ɡʁe.ɡa.ʁin
Gregarinea;ɡʁe.ɡa.ʁin
Gregory;ɡʁe.ɡɔ.ʁi
Greip;ɡʁip
Grenada;ɡʁa.na.da
Grenade;ɡʁə.nad
Grenadien;ɡʁə.na.djɛ̃
Grenadienne;ɡʁə.na.djɛn
Grenadiennes;ɡʁə.na.djɛn
Grenadiens;ɡʁə.na.djɛ̃
Grenadiinit;ɡʁə.na.din
Grenadin;ɡʁə.na.dɛ̃
Grenadine;ɡʁə.na.din
Grenadinen;ɡʁə.na.din
Grenadines;ɡʁə.na.din
Grenadins;ɡʁə.na.dɛ̃
Grenado;ɡʁə.nad
Grenadyny;ɡʁə.na.din
Grenay;ɡʁə.nɛ
Grenelle;ɡʁə.nɛl
Grenlàndia;ɡʁɔ.ɛn.lɑ̃d
Grenland;ɡʁɔ.ɛn.lɑ̃d
Grenlande;ɡʁɔ.ɛn.lɑ̃d
Grenlandia;ɡʁɔ.ɛn.lɑ̃d
Grenlandija;ɡʁɔ.ɛn.lɑ̃d
Grenlando;ɡʁɔ.ɛn.lɑ̃d
Grenoble;ɡʁə.nɔbl
Grenoblois;ɡʁə.nɔb.lwa
Grenobloise;ɡʁə.nɔb.lwaz
Grenobloises;ɡʁə.nɔb.lwaz
Grentheville;ɡʁɑ̃t.vil
Grenville;ɡʁɛn.vil
Grenvillois;ɡʁɛn.vi.lwa
Greunland;ɡʁɔ.ɛn.lɑ̃d
Grieu;ɡʁi.jø
Grignolain;ɡʁi.nɔ.lɛ̃
Grignolains;ɡʁi.nɔ.lɛ̃
Grigrigredinmenufretin;ɡʁi.ɡʁi.ɡʁə.dɛ̃.mə.ny.fʁə.tɛ̃
Grimbergen;ɡʁim.bɛʁ.ɡən
Grimbergeois;ɡʁim.bɛʁ.ʒwa
Grimbergeoise;ɡʁim.bɛʁ.ʒwaz
Grimbergeoises;ɡʁim.bɛʁ.ʒwaz
Grimm;ɡʁim
Grincheux;ɡʁɛ̃.ʃø
Grives;ɡʁiv
Grivois;ɡʁi.vwa
Grivoise;ɡʁi.vwaz
Grivoises;ɡʁi.vwaz
Groënland;ɡʁɔ.ɛn.lɑ̃d
Groënlandais;ɡʁɔ.ɛn.lɑ̃.dɛ
Groënlandaise;ɡʁɔ.ɛn.lɑ̃.dɛz
Groënlandaises;ɡʁɔ.ɛn.lɑ̃.dɛz
Groeg;ʒe.nɛ.ʁə.ʁe
Groenendael;ɡʁu.nən.dal
Groenland;ɡʁɔ.ɛn.lɑ̃d
Groenlanda;ɡʁɔ.ɛn.lɑ̃d
Groenlandais;ɡʁɔ.ɛn.lɑ̃.dɛ
Groenlandaise;ɡʁɔ.ɛn.lɑ̃.dɛz
Groenlandaises;ɡʁɔ.ɛn.lɑ̃.dɛz
Groenlannia;ɡʁɔ.ɛn.lɑ̃d
Grondinien;ɡʁɔ̃.di.njɛ̃
Grondinois;ɡʁɔ̃.di.nwa
Gronelândia;ɡʁɔ.ɛn.lɑ̃d
Groningue;ɡʁɔ.nœ̃ɡ
Gronlandia;ɡʁɔ.ɛn.lɑ̃d
Gronlando;ɡʁɔ.ɛn.lɑ̃d
Groovy;ɡʁu.vi
Grosseto;ɡʁɔ.sɛ.tɔ
Groulxois;ɡʁu.wa
Grue;ɡʁy
Gruois;ɡʁy.wa
Gruson;ɡʁy.zɔ̃
Grusonnois;ɡʁy.zɔ.nwa
Grusonnoise;ɡʁy.zɔ.nwaz
Gruunlaand;ɡʁɔ.ɛn.lɑ̃d
Gruyère;ɡʁɥi.jɛʁ
Guéand;ɡe.ɑ̃
Guégon;ɡe.ɡɔ̃
Guénin;ɡe.nɛ̃
Guépéou;ɡe.pe.u
Guérinois;ɡe.ʁi.nwa
Guéron;ɡe.ʁɔ̃
Guêprei;ɡɛp.ʁɛ
Guadeloupéen;ɡwad.lu.pe.ɛ̃
Guadeloupéenne;ɡwad.lu.pe.ɛn
