Yé;je
ypéritât;i.pe.ʁi.ta
ypéritâtes;i.pe.ʁi.tat
ypéritèrent;i.pe.ʁi.tɛʁ
ypérité;i.pe.ʁi.te
ypéritée;i.pe.ʁi.te
ypéritées;i.pe.ʁi.te
ypérités;i.pe.ʁi.te
ypérita;i.pe.ʁi.ta
ypéritai;i.pe.ʁi.te
ypéritaient;i.pe.ʁi.tɛ
ypéritais;i.pe.ʁi.tɛ
ypéritait;i.pe.ʁi.tɛ
ypéritant;i.pe.ʁi.tɑ̃
ypéritas;i.pe.ʁi.ta
ypéritasse;i.pe.ʁi.tas
ypéritassent;i.pe.ʁi.tas
ypéritasses;i.pe.ʁi.tas
ypéritassiez;i.pe.ʁi.ta.sje
ypéritassions;i.pe.ʁi.ta.sjɔ̃
ypérite;i.pe.ʁit
ypéritent;i.pe.ʁit
ypériter;i.pe.ʁi.te
ypéritera;i.pe.ʁi.tə.ʁa
ypériterai;i.pe.ʁi.tə.ʁe
ypériteraient;i.pe.ʁi.tə.ʁɛ
ypériterais;i.pe.ʁi.tə.ʁɛ
ypériterait;i.pe.ʁi.tə.ʁɛ
ypériteras;i.pe.ʁi.tə.ʁa
ypériterez;i.pe.ʁi.tə.ʁe
ypériteriez;i.pe.ʁi.tə.ʁje
ypériterions;i.pe.ʁi.tə.ʁjɔ̃
ypériterons;i.pe.ʁi.tə.ʁɔ̃
ypériteront;i.pe.ʁi.tə.ʁɔ̃
ypérites;i.pe.ʁit
ypéritez;i.pe.ʁi.te
ypéritiez;i.pe.ʁi.tje
ypéritions;i.pe.ʁi.tjɔ̃
ypéritons;i.pe.ʁi.tɔ̃
yponomeutes;ju.tʁɔ̃
ypréaux;ip.ʁe.o
yprésien;ip.ʁe.zjɛ̃
yprésiens;ip.ʁe.zjɛ̃
yprois;ip.ʁwa
yrivd;i.pɛʁ.ɡʁa.fi
ys;jɔ.ta.sə.ɡɔ̃d
ysopet;i.zo.pe
ysopets;ip.ʁe.zjɛ̃
yssamplari;ɛ.tʁə.la
yssir;ɛ̃.si.de
ytterbine;i.tɛʁ.bin
ytterbines;ip.ʁe.zjɛ̃
ytterbite;i.ttɛʁ.bi.t
ytterbium;i.tɛʁ.bjɔm
yttria;i.tʁi.ja
yttrias;ip.ʁe.zjɛ̃
yttrifère;i.tʁi.fɛʁ
yttrifères;ip.ʁe.zjɛ̃
yttrique;i.tʁik
yttrium;i.tʁi.jɔm
yttrofluorites;ip.ʁe.zjɛ̃
yuan;jɥan
yuans;jɥan
yuca;jy.ka
yucatèque;jy.ka.tɛk
yucca;jy.ka
yuccas;jy.ka
yud;jud
yuds;ip.ʁe.zjɛ̃
yukata;ju.ka.ta
yukatas;ju.ka.ta
yuki;ju.ki
yuko;jy.ko
yukonnais;jy.kɔ.nɛ
yukonnaise;jy.kɔ.nɛz
yukonnaises;jy.kɔ.nɛz
yuqui;ju.ki
yuracaré;ju.ʁa.ka.ʁe
yurakaré;ju.ʁa.ka.ʁe
yurakarés;ju.ʁa.ka.ʁe
yuri;ju.ʁi
yuris;ju.ʁi
yuro;jy.ko
yurt;juʁt
yurta;juʁt
yurto;jɔ.jo
yuzu;ju.zu
yuzus;ju.zu
yvelinois;iv.li.nwa
yvelinoise;iv.li.nwaz
yvelinoises;iv.li.nwaz
yvoirien;i.vwa.ʁjɛ̃
yvoirienne;i.vwa.ʁjɛn
yvoiriennes;i.vwa.ʁjɛn
yvoiriens;i.vwa.ʁjɛ̃
yvraie;i.vʁɛ
yvraies;i.vʁɛ
