Hébé;e.be
hérissartoises;e.ʁi.saʁ.twaz
hérissas;e.ʁi.sa
hérissasse;e.ʁi.sas
hérissassent;e.ʁi.sas
hérissasses;e.ʁi.sas
hérissassiez;e.ʁi.sa.sje
hérissassions;e.ʁi.sa.sjɔ̃
hérisse;e.ʁis
hérissemens;e.ʁis.mɑ̃
hérissement;e.ʁis.mɑ̃
hérissent;e.ʁis
hérisser;e.ʁi.se
hérissera;e.ʁi.sə.ʁa
hérisserai;e.ʁi.sə.ʁe
hérisseraient;e.ʁi.sə.ʁɛ
hérisserais;e.ʁi.sə.ʁɛ
hérisserait;e.ʁi.sə.ʁɛ
hérisseras;e.ʁi.sə.ʁa
hérisserez;e.ʁi.sə.ʁe
hérisseriez;e.ʁi.sə.ʁje
hérisserions;e.ʁi.sə.ʁjɔ̃
hérisserons;e.ʁi.sə.ʁɔ̃
hérisseront;e.ʁi.sə.ʁɔ̃
hérisses;e.ʁis
hérissez;e.ʁi.se
hérissiez;e.ʁi.sje
hérissions;e.ʁi.sjɔ̃
hérisson;e.ʁi.sɔ̃
hérissonnâmes;e.ʁi.sɔ.nam
hérissonnât;e.ʁi.sɔ.na
hérissonnâtes;e.ʁi.sɔ.nat
hérissonnèrent;e.ʁi.sɔ.nɛʁ
hérissonné;e.ʁi.sɔ.ne
hérissonnée;e.ʁi.sɔ.ne
hérissonnées;e.ʁi.sɔ.ne
hérissonnés;e.ʁi.sɔ.ne
hérissonna;e.ʁi.sɔ.na
hérissonnai;e.ʁi.sɔ.ne
hérissonnaient;e.ʁi.sɔ.nɛ
hérissonnais;e.ʁi.sɔ.nɛ
hérissonnait;e.ʁi.sɔ.nɛ
hérissonnant;e.ʁi.sɔ.nɑ̃
hérissonnas;e.ʁi.sɔ.na
hérissonnasse;e.ʁi.sɔ.nas
hérissonnassent;e.ʁi.sɔ.nas
hérissonnasses;e.ʁi.sɔ.nas
hérissonnassiez;e.ʁi.sɔ.na.sje
hérissonnassions;e.ʁi.sɔ.na.sjɔ̃
hérissonne;e.ʁi.sɔn
hérissonnemens;e.ʁi.sɔn.mɑ̃
hérissonnement;e.ʁi.sɔn.mɑ̃
hérissonnements;e.ʁi.sɔn.mɑ̃
hérissonnent;e.ʁi.sɔn
hérissonner;e.ʁi.sɔ.ne
hérissonnera;e.ʁi.sɔ.nə.ʁa
hérissonnerai;e.ʁi.sɔ.nə.ʁe
hérissonneraient;e.ʁi.sɔ.nə.ʁɛ
hérissonnerais;e.ʁi.sɔ.nə.ʁɛ
hérissonnerait;e.ʁi.sɔ.nə.ʁɛ
hérissonneras;e.ʁi.sɔ.nə.ʁa
hérissonnerez;e.ʁi.sɔ.nə.ʁe
hérissonneriez;e.ʁi.sɔ.nə.ʁje
hérissonnerions;e.ʁi.sɔ.nə.ʁjɔ̃
hérissonnerons;e.ʁi.sɔ.nə.ʁɔ̃
hérissonneront;e.ʁi.sɔ.nə.ʁɔ̃
hérissonnes;e.ʁi.sɔn
hérissonnez;e.ʁi.sɔ.ne
hérissonniez;e.ʁi.sɔ.nje
hérissonnions;e.ʁi.sɔ.njɔ̃
hérissonnons;e.ʁi.sɔ.nɔ̃
hérissons;e.ʁi.sɔ̃
héritâmes;e.ʁi.tam
héritât;e.ʁi.ta
héritâtes;e.ʁi.tat
héritèrent;e.ʁi.tɛʁ
hérité;e.ʁi.te
héritée;e.ʁi.te
héritées;e.ʁi.te
hérités;e.ʁi.te
hérita;e.ʁi.ta
héritabilité;e.ʁi.ta.bi.li.te
héritabilités;e.ʁi.ta.bi.li.te
héritable;e.ʁi.tabl
héritables;e.ʁi.tabl
héritage;e.ʁi.taʒ
héritages;e.ʁi.taʒ
héritai;e.ʁi.te
héritaient;e.ʁi.tɛ
héritais;e.ʁi.tɛ
héritait;e.ʁi.tɛ
héritant;e.ʁi.tɑ̃
héritas;e.ʁi.ta
héritasse;e.ʁi.tas
héritassent;e.ʁi.tas
héritasses;e.ʁi.tas
héritassiez;e.ʁi.ta.sje
héritassions;e.ʁi.ta.sjɔ̃
hérite;e.ʁit
héritent;e.ʁit
hériter;e.ʁi.te
héritera;e.ʁi.tə.ʁa
hériterai;e.ʁi.tə.ʁe
hériteraient;e.ʁi.tə.ʁɛ
hériterais;e.ʁi.tə.ʁɛ
hériterait;e.ʁi.tə.ʁɛ
hériteras;e.ʁi.tə.ʁa
hériterez;e.ʁi.tə.ʁe
hériteriez;e.ʁi.tə.ʁje
hériterions;e.ʁi.tə.ʁjɔ̃
hériterons;e.ʁi.tə.ʁɔ̃
hériteront;e.ʁi.tə.ʁɔ̃
hérites;e.ʁit
héritez;e.ʁi.te
héritière;e.ʁi.sɔn
héritières;e.ʁi.tjɛʁ
héritiers;e.ʁi.tje
héritiez;e.ʁi.tje
héritions;e.ʁi.tjɔ̃
héritons;e.ʁi.tɔ̃
héroïcisâmes;e.ʁo.i.si.zam
héroïcisât;e.ʁo.i.si.za
héroïcisâtes;e.ʁo.i.si.zat
héroïcisèrent;e.ʁo.i.si.zɛʁ
héroïcisé;e.ʁo.i.si.ze
héroïcisée;e.ʁo.i.si.ze
héroïcisées;e.ʁo.i.si.ze
héroïcisés;e.ʁo.i.si.ze
héroïcisa;e.ʁo.i.si.za
héroïcisai;e.ʁo.i.si.ze
héroïcisaient;e.ʁo.i.si.zɛ
héroïcisais;e.ʁo.i.si.zɛ
héroïcisait;e.ʁo.i.si.zɛ
héroïcisant;e.ʁo.i.si.zɑ̃
héroïcisas;e.ʁo.i.si.za
héroïcisasse;e.ʁo.i.si.zas
héroïcisassent;e.ʁo.i.si.zas
héroïcisasses;e.ʁo.i.si.zas
héroïcisassiez;e.ʁo.i.si.za.sje
héroïcisassions;e.ʁo.i.si.za.sjɔ̃
héroïcise;e.ʁo.i.siz
héroïcisent;e.ʁo.i.siz
héroïciser;e.ʁo.i.si.ze
héroïcisera;e.ʁo.i.si.zə.ʁa
héroïciserai;e.ʁo.i.si.zə.ʁe
héroïciseraient;e.ʁo.i.si.zə.ʁɛ
héroïciserais;e.ʁo.i.si.zə.ʁɛ
héroïciserait;e.ʁo.i.si.zə.ʁɛ
héroïciseras;e.ʁo.i.si.zə.ʁa
héroïciserez;e.ʁo.i.si.zə.ʁe
héroïciseriez;e.ʁo.i.si.zə.ʁje
héroïciserions;e.ʁo.i.si.zə.ʁjɔ̃
héroïciserons;e.ʁo.i.si.zə.ʁɔ̃
héroïciseront;e.ʁo.i.si.zə.ʁɔ̃
héroïcises;e.ʁo.i.siz
héroïcisez;e.ʁo.i.si.ze
héroïcisiez;e.ʁo.i.si.zje
héroïcisions;e.ʁo.i.si.zjɔ̃
héroïcisons;e.ʁo.i.si.zɔ̃
héroïcité;e.ʁɔ.i.si.te
héroïcités;e.te.ʁɔ.li.tik
héroïde;e.ʁɔ.id
héroïdes;e.ʁɔ.id
héroïne;e.ʁɔ.in
héroïnes;e.ʁɔ.in
héroïque;e.ʁɔ.ik
héroïquement;e.ʁɔ.ik.mɑ̃
héroïques;e.ʁɔ.ik
héroïsâmes;e.ʁɔ.i.zam
héroïsât;e.ʁɔ.i.za
héroïsâtes;e.ʁɔ.i.zat
héroïsèrent;e.ʁɔ.i.zɛʁ
héroïsé;e.ʁɔ.i.ze
héroïsée;e.ʁɔ.i.ze
héroïsées;e.ʁɔ.i.ze
héroïsés;e.ʁɔ.i.ze
héroïsa;e.ʁɔ.i.za
héroïsai;e.ʁɔ.i.ze
héroïsaient;e.ʁɔ.i.zɛ
héroïsais;e.ʁɔ.i.zɛ
héroïsait;e.ʁɔ.i.zɛ
héroïsant;e.ʁɔ.i.ze
héroïsas;e.ʁɔ.i.za
héroïsasse;e.ʁɔ.i.zas
héroïsassent;e.ʁɔ.i.zas
héroïsasses;e.ʁɔ.i.zas
héroïsassiez;e.ʁɔ.i.za.sje
héroïsassions;e.ʁɔ.i.za.sjɔ̃
héroïse;e.ʁɔ.iz
héroïsent;e.ʁɔ.iz
héroïser;e.ʁɔ.i.ze
héroïsera;e.ʁɔ.i.zə.ʁa
héroïserai;e.ʁɔ.i.zə.ʁe
héroïseraient;e.ʁɔ.i.zə.ʁɛ
héroïserais;e.ʁɔ.i.zə.ʁɛ
héroïserait;e.ʁɔ.i.zə.ʁɛ
héroïseras;e.ʁɔ.i.zə.ʁa
héroïserez;e.ʁɔ.i.zə.ʁe
héroïseriez;e.ʁɔ.i.zə.ʁje
héroïserions;e.ʁɔ.i.zə.ʁjɔ̃
héroïserons;e.ʁɔ.i.zə.ʁɔ̃
héroïseront;e.ʁɔ.i.zə.ʁɔ̃
héroïses;e.ʁɔ.iz
héroïsez;e.ʁɔ.i.ze
héroïsiez;e.ʁɔ.i.zje
héroïsions;e.ʁɔ.i.zjɔ̃
héroïsme;e.ʁɔ.ism
héroïsmes;e.ʁɔ.ism
héroïsons;e.ʁɔ.i.zɔ̃
hérodien;e.ʁɔ.djɛ̃
héron;e.ʁɔ̃
héronnâmes;e.ʁɔ.nam
héronnât;e.ʁɔ.na
héronnâtes;e.ʁɔ.nat
héronnèrent;e.ʁɔ.nɛʁ
héronné;e.ʁɔ.ne
héronna;e.ʁɔ.na
héronnai;e.ʁɔ.ne
héronnaient;e.ʁɔ.nɛ
héronnais;e.ʁɔ.nɛ
héronnait;e.ʁɔ.nɛ
héronnant;e.ʁɔ.nɑ̃
héronnas;e.ʁɔ.na
héronnasse;e.ʁɔ.nas
héronnassent;e.ʁɔ.nas
héronnasses;e.ʁɔ.nas
héronnassiez;e.ʁɔ.na.sje
héronnassions;e.ʁɔ.na.sjɔ̃
héronne;e.ʁɔn
héronnent;e.ʁɔn
héronner;e.ʁɔ.ne
héronnera;e.ʁɔ.nə.ʁa
héronnerai;e.ʁɔ.nə.ʁe
héronneraient;e.ʁɔ.nə.ʁɛ
héronnerais;e.ʁɔ.nə.ʁɛ
héronnerait;e.ʁɔ.nə.ʁɛ
héronneras;e.ʁɔ.nə.ʁa
héronnerez;e.ʁɔ.nə.ʁe
héronneriez;e.ʁɔ.nə.ʁje
héronnerions;e.ʁɔ.nə.ʁjɔ̃
héronnerons;e.ʁɔ.nə.ʁɔ̃
héronneront;e.ʁɔ.nə.ʁɔ̃
héronnes;e.ʁɔn
héronnez;e.ʁɔ.ne
héronniez;e.ʁɔ.nje
héronnions;e.ʁɔ.njɔ̃
héronnons;e.ʁɔ.nɔ̃
héros;e.ʁo
hérouvillois;e.ʁu.vi.lwa
hérouxvillois;e.ʁu.vi.lwa
hésevo;øs.ka.ʁi.ze
hésitâmes;e.zi.tam
hésitât;e.zi.ta
hésitâtes;e.zi.tat
hésitèrent;e.zi.tɛʁ
hésité;e.zi.te
hésita;e.zi.ta
hésitable;e.zi.tabl
hésitables;e.zi.tabl
hésitai;e.zi.te
hésitaient;e.zi.tɛ
hésitais;e.zi.tɛ
hésitait;e.zi.tɛ
hésitante;e.zi.tɑ̃t
hésitantes;e.zi.tɑ̃t
hésitants;e.zi.tɑ̃
hésitas;e.zi.ta
hésitasse;e.zi.tas
hésitassent;e.zi.tas
hésitasses;e.zi.tas
hésitassiez;e.zi.ta.sje
hésitassions;e.zi.ta.sjɔ̃
hésitation;e.zi.ta.sjɔ̃
hésitations;e.zi.ta.sjɔ̃
hésite;e.zit
hésitent;e.zit
hésiter;e.zi.te
hésitera;e.zi.tə.ʁa
hésiterai;e.zi.tə.ʁe
hésiteraient;e.zi.tə.ʁɛ
hésiterais;e.zi.tə.ʁɛ
hésiterait;e.zi.tə.ʁɛ
hésiteras;e.zi.tə.ʁa
hésiterez;e.zi.tə.ʁe
hésiteriez;e.zi.tə.ʁje
hésiterions;e.zi.tə.ʁjɔ̃
hésiterons;e.zi.tə.ʁɔ̃
hésiteront;e.zi.tə.ʁɔ̃
hésites;e.zit
hésiteur;e.zi.tœʁ
hésitez;e.zi.te
hésitiez;e.zi.tje
hésitions;e.zi.tjɔ̃
hésitons;e.zi.tɔ̃
hétéradelphe;e.mi.paʒ
hétéradelphie;e.te.ʁa.dɛl.fi
hétérandre;e.mi.paʒ
hétériste;e.te.ʁist
hétéroïde;e.te.ʁɔ.id
hétéroïdes;e.te.ʁɔk.lism
hétéro;e.te.ʁo
hétérocère;e.te.ʁɔ.sɛʁ
hétérocarpe;e.te.ʁɔ.kaʁp
hétérocentré;e.te.ʁo.sɑ̃.tʁe
hétérocentrisme;e.te.ʁo.sɑ̃.tʁism
hétérocerque;e.tə.ʁɔ.sɛʁk
hétérochrome;e.te.ʁok.ʁo.m
hétérochromes;e.te.ʁok.ʁo.m
hétérochromie;e.te.ʁok.ʁo.mi
hétérochromies;ɛp.ta.ɡɔn
hétérochromosome;e.te.ʁok.ʁɔ.mɔ.zɔm
hétérochromosomique;e.te.ʁok.ʁɔ.mɔ.zɔ.mik
hétérochromosomiques;ɛp.ta.ɡɔn
hétérochrone;e.te.ʁɔk.ʁon
hétérochronie;e.te.ʁɔk.ʁɔ.ni
hétéroclisme;e.te.ʁɔk.lism
hétéroclismes;e.te.ʁɔk.lism
hétéroclite;e.te.ʁɔk.lit
hétéroclites;e.te.ʁɔk.lit
hétéroconsonnantique;e.te.ʁo.kɔ̃.sɔ.nɑ̃.tik
hétéroconsonnantiques;e.te.ʁo.kɔ̃.sɔ.nɑ̃.tik
hétérocrate;e.te.ʁok.ʁat
hétérocrates;e.te.ʁɔk.lism
hétérocratie;e.te.ʁok.ʁa.si
hétérocraties;e.te.ʁɔk.lism
hétérocycle;e.te.ʁo.sikl
hétérocyclique;is.ke.mi
hétérocycliques;e.te.ʁɔk.lism
hétérodactyles;e.mi.sa.la.mɑ̃dʁ
hétérodiégétiques;e.te.ʁɔk.lism
hétérodidacte;e.te.ʁɔ.di.dakt
hétérodidactes;e.te.ʁɔk.lism
hétérodons;e.mi.sa.la.mɑ̃dʁ
hétérodontes;e.te.ʁɔk.lism
hétérodonties;e.te.ʁɔk.lism
hétérodoxe;e.te.ʁɔ.dɔks
hétérodoxes;ap.tɛʁ
hétérodoxie;e.te.ʁɔ.dɔk.si
hétérodoxies;e.te.ʁɔk.lism
hétérodoxité;e.te.ʁɔ.dɔk.si.te
hétérodoxités;e.te.ʁɔk.lism
hétérodrome;e.te.ʁɔ.dʁɔm
hétéroduplex;e.te.ʁo.dyp.lɛks
hétérodymie;e.te.ʁɔ.di.mi
hétérodyne;e.te.ʁɔ.din
hétérodynes;e.te.ʁɔk.lism
hétérofilm;e.te.ʁo.film
hétéroflexible;e.te.ʁo.flɛ.ksib.l
hétéroflexibles;e.te.ʁɔk.lism
hétérogène;e.te.ʁɔ.ʒɛn
hétérogènes;e.te.ʁɔ.ʒɛn
hétérogénéisâmes;e.te.ʁɔ.ʒe.ne.i.zam
hétérogénéisât;e.te.ʁɔ.ʒe.ne.i.za
hétérogénéisâtes;e.te.ʁɔ.ʒe.ne.i.zat
hétérogénéisèrent;e.te.ʁɔ.ʒe.ne.i.zɛʁ
hétérogénéisé;e.te.ʁɔ.ʒe.ne.i.ze
hétérogénéisée;e.te.ʁɔ.ʒe.ne.i.ze
hétérogénéisées;e.te.ʁɔ.ʒe.ne.i.ze
hétérogénéisés;e.te.ʁɔ.ʒe.ne.i.ze
hétérogénéisa;e.te.ʁɔ.ʒe.ne.i.za
hétérogénéisai;e.te.ʁɔ.ʒe.ne.i.ze
hétérogénéisaient;e.te.ʁɔ.ʒe.ne.i.zɛ
hétérogénéisais;e.te.ʁɔ.ʒe.ne.i.zɛ
hétérogénéisait;e.te.ʁɔ.ʒe.ne.i.zɛ
hétérogénéisant;e.te.ʁɔ.ʒe.ne.i.zɑ̃
hétérogénéisas;e.te.ʁɔ.ʒe.ne.i.za
hétérogénéisasse;e.te.ʁɔ.ʒe.ne.i.zas
hétérogénéisassent;e.te.ʁɔ.ʒe.ne.i.zas
hétérogénéisasses;e.te.ʁɔ.ʒe.ne.i.zas
hétérogénéisassiez;e.te.ʁɔ.ʒe.ne.i.za.sje
hétérogénéisassions;e.te.ʁɔ.ʒe.ne.i.za.sjɔ̃
hétérogénéise;e.te.ʁɔ.ʒe.ne.iz
hétérogénéisent;e.te.ʁɔ.ʒe.ne.iz
hétérogénéiser;e.te.ʁɔ.ʒe.ne.i.ze
hétérogénéisera;e.te.ʁɔ.ʒe.ne.i.zə.ʁa
hétérogénéiserai;e.te.ʁɔ.ʒe.ne.i.zə.ʁe
hétérogénéiseraient;e.te.ʁɔ.ʒe.ne.i.zə.ʁɛ
hétérogénéiserais;e.te.ʁɔ.ʒe.ne.i.zə.ʁɛ
hétérogénéiserait;e.te.ʁɔ.ʒe.ne.i.zə.ʁɛ
hétérogénéiseras;e.te.ʁɔ.ʒe.ne.i.zə.ʁa
hétérogénéiserez;e.te.ʁɔ.ʒe.ne.i.zə.ʁe
hétérogénéiseriez;e.te.ʁɔ.ʒe.ne.i.zə.ʁje
hétérogénéiserions;e.te.ʁɔ.ʒe.ne.i.zə.ʁjɔ̃
hétérogénéiserons;e.te.ʁɔ.ʒe.ne.i.zə.ʁɔ̃
hétérogénéiseront;e.te.ʁɔ.ʒe.ne.i.zə.ʁɔ̃
hétérogénéises;e.te.ʁɔ.ʒe.ne.iz
hétérogénéisez;e.te.ʁɔ.ʒe.ne.i.ze
hétérogénéisiez;e.te.ʁɔ.ʒe.ne.i.zje
hétérogénéisions;e.te.ʁɔ.ʒe.ne.i.zjɔ̃
hétérogénéisons;e.te.ʁɔ.ʒe.ne.i.zɔ̃
hétérogénéité;e.te.ʁɔ.ʒe.ne.i.te
hétérogénéités;e.te.ʁɔ.ʒe.ne.i.te
hétérogénésie;ø.pɛp.si
hétérogénie;ɔ.mɔ.ʒe.ni
hétérogéniste;e.te.ʁɔ.ʒe.nist
hétérogame;e.te.ʁɔ.ɡam
hétérogames;e.te.ʁɔ.ɡam
hétérogamie;e.te.ʁɔ.ɡa.mi
hétérogomphe;e.te.ʁɔ.ɡɔ̃f
hétérogomphes;e.te.ʁɔk.lism
hétérologique;e.te.ʁɔ.lɔ.ʒik
hétérologiques;e.te.ʁɔk.lism
hétérolyse;e.te.ʁɔ.liz
hétérolytique;e.te.ʁɔ.li.tik
hétérolytiques;e.te.ʁɔ.li.tik
hétéromère;e.te.ʁɔ.mɛʁ
hétérométrie;y.ʁo.piʒ
hétéromite;e.te.ʁɔ.mit
hétéromodal;e.te.ʁo.mɔ.dal
hétéromorphe;e.te.ʁɔ.mɔʁf
hétéromorphes;e.te.ʁɔ.mɔʁf
hétéromorphie;e.te.ʁɔ.mɔʁ.fi
hétéromorphies;e.te.ʁɔ.mɔʁ.fi
hétéromorphisme;e.te.ʁɔ.mɔʁ.fism
hétéromorphismes;a.ʒjɑ̃
hétéromorphose;e.te.ʁo.mɔʁ.foz
hétéromorphoses;e.te.ʁɔ.li.tik
hétéronomes;e.te.ʁɔk.lism
hétéronomie;e.te.ʁɔ.nɔ.mi
hétéronomies;e.te.ʁɔk.lism
hétéronomisation;e.te.ʁɔ.nɔ.mi.za.sjɔ̃
hétéronomisations;e.te.ʁɔ.nɔ.mi.za.sjɔ̃
hétéronormé;e.te.ʁo.nɔʁ.me
hétéronormée;e.te.ʁo.nɔʁ.me
hétéronormées;e.te.ʁo.nɔʁ.me
hétéronormés;e.te.ʁo.nɔʁ.me
hétéronormatif;e.te.ʁɔ.nɔʁ.ma.tif
hétéronormatifs;e.te.ʁɔ.nɔʁ.ma.tif
hétéronormative;e.te.ʁɔ.nɔʁ.ma.tif
hétéronormatives;e.te.ʁɔ.nɔʁ.ma.tif
hétéronormativité;e.te.ʁo.nɔʁ.ma.ti.vi.te
hétéronormisme;e.te.ʁo.nɔʁ.mism
hétéronyme;e.te.ʁo.nim
hétéronymie;e.te.ʁo.ni.mi
hétéronymies;e.te.ʁɔk.lism
hétéropétale;e.te.ʁɔ.pe.tal
hétéropagie;e.te.ʁɔ.pa.ʒi
hétéroparental;e.te.ʁɔ.pa.ʁɑ̃.tal
hétéroparentale;e.te.ʁɔ.pa.ʁɑ̃.tal
hétéroparentales;e.te.ʁɔ.pa.ʁɑ̃.tal
hétéroparentaux;e.te.ʁɔ.pa.ʁɑ̃.to
hétérophobe;e.te.ʁo.fɔb
hétérophobes;e.te.ʁɔk.lism
hétérophobie;e.te.ʁo.fɔ.bi
hétérophobies;e.te.ʁɔk.lism
hétérophorie;e.te.ʁɔ.fɔ.ʁi
hétérophories;e.te.ʁɔ.fɔ.ʁi
hétérophylle;e.te.ʁɔ.fil
hétérophylles;e.te.ʁɔk.lism
hétérophyllie;e.te.ʁɔ.fi.li
hétéroplasme;e.te.ʁɔp.lasm
hétéroplasmes;e.te.ʁɔk.lism
hétéroplastie;e.te.ʁop.las.ti
hétéroplasties;e.te.ʁɔ.nɔʁ.ma.tif
hétéroplastique;e.te.ʁop.la.stik
hétéroptère;e.te.ʁɔp.tɛʁ
hétéroptères;e.te.ʁɔk.lism
hétérorexie;e.mi.zɔ.mɔʁ.fism
hétéros;ɛp.ta.ɡɔn
hétéroscédasticité;e.te.ʁo.se.das.ti.si.te
hétéroscédasticités;e.te.ʁo.se.das.ti.si.te
hétéroscédastique;e.te.ʁo.se.das.tik
hétérosexisme;e.te.ʁo.sɛk.sism
hétérosexualités;e.te.ʁɔk.lism
hétérosexuel;e.te.ʁo.sɛk.sɥɛl
hétérosexuelle;e.te.ʁɔ.sɛk.sɥɛl
hétérosexuelles;e.te.ʁɔ.sɛk.sɥɛl
hétérosexuels;e.te.ʁɔ.sɛk.sɥɛl
hétéroside;e.te.ʁɔ.sid
hétérosis;e.te.ʁo.zis
hétérosocialité;e.te.ʁɔ.sɔ.sja.li.te
hétérosomes;i.ste.ʁɔ.skɔp
hétérosomique;e.te.ʁo.sɔ.mik
hétérosomiques;e.te.ʁɔk.lism
hétérosporé;e.te.ʁo.spo.ʁe
hétérosporée;e.te.ʁo.spo.ʁe
hétérosporées;e.te.ʁo.spo.ʁe
hétérosporés;e.te.ʁo.spo.ʁe
hétérostructures;e.te.ʁɔk.lism
hétérothallisme;e.te.ʁɔ.ta.lism
hétérothallismes;e.te.ʁɔk.lism
hétérotome;ɛp.ta.tɔm
hétérotopie;e.te.ʁo.tɔ.pi
hétérotopies;e.te.ʁɔk.lism
hétérotrope;e.te.ʁɔ.tʁɔp
hétérotropes;e.te.ʁɔk.lism
hétérotrophe;e.te.ʁɔ.tʁɔf
hétérotrophes;e.te.ʁɔ.tʁɔf
hétérotrophie;e.te.ʁɔ.tʁɔ.fi
hétérotrophies;e.te.ʁɔk.lism
hétérotypien;e.teʁ.k.ti.pjɛ̃
hétérotypiens;e.te.ʁɔk.lism
hétérozygote;e.te.ʁo.zi.ɡɔt
hétérozygotes;e.te.ʁɔk.lism
hétérozygoties;e.te.ʁɔk.lism
hét;ɑ̃ɡ
hétaïre;e.ta.iʁ
hétaïres;e.ta.iʁ
hétairie;yi.tʁi.je
hétkün;aʁ.ʃɛʁ
hétlan;aʁ.ʃɛʁ
hétoudeau;e.di.za.ʁɔm
hétourdeau;e.di.za.ʁɔm
hétraie;e.tʁɛ
hévéène;e.ve.ɛn
hévéa;e.ve.a
hévéas;e.ve.a
hê;ɛ
hêtres;ɛtʁ
hëlfen;a.pa.ʁɛj
hô;ɔj
hôlâmes;o.lam
hôlât;o.la
hôlâtes;o.lat
hôlèrent;o.lɛʁ
hôlé;o.le
hôla;o.la
hôlai;o.le
hôlaient;o.lɛ
hôlais;o.lɛ
hôlait;o.lɛ
hôlant;o.lɑ̃
hôlas;o.la
hôlasse;o.las
hôlassent;o.las
hôlasses;o.las
hôlassiez;o.la.sje
hôlassions;o.la.sjɔ̃
hôle;ol
hôlemens;ol.mɑ̃
hôlement;ol.mɑ̃
hôlements;ol.mɑ̃
hôlent;ol
hôlera;o.lə.ʁa
hôlerai;o.lə.ʁe
hôleraient;o.lə.ʁɛ
hôlerais;o.lə.ʁɛ
hôlerait;o.lə.ʁɛ
hôleras;o.lə.ʁa
hôlerez;o.lə.ʁe
hôleriez;o.lə.ʁje
hôlerions;o.lə.ʁjɔ̃
hôlerons;o.lə.ʁɔ̃
hôleront;o.lə.ʁɔ̃
hôles;ol
hôlez;o.le
hôliez;o.lje
hôlions;o.ljɔ̃
hôlons;o.lɔ̃
hôpital;ɔ.pi.tal
hôpitaux;o.pi.to
hôtèle;ɔ.tɛl
hôtèlent;ɔ.tɛl
hôtèlera;ɔ.tɛ.lə.ʁa
hôtèlerai;ɔ.tɛ.lə.ʁe
hôtèleraient;ɔ.tɛ.lə.ʁɛ
hôtèlerais;ɔ.tɛ.lə.ʁɛ
hôtèlerait;ɔ.tɛ.lə.ʁɛ
hôtèleras;ɔ.tɛ.lə.ʁa
hôtèlerez;ɔ.tɛ.lə.ʁe
hôtèleriez;ɔ.tɛ.lə.ʁje
hôtèlerions;ɔ.tɛ.lə.ʁjɔ̃
hôtèlerons;ɔ.tɛ.lə.ʁɔ̃
hôtèleront;ɔ.tɛ.lə.ʁɔ̃
hôtèles;ɔ.tɛl
hôte;ot
hôtelâmes;ɔ.tə.lam
hôtelât;ɔ.tə.la
hôtelâtes;ɔ.tə.lat
hôtelèrent;ɔ.tə.lɛʁ
hôtelé;ɔ.tə.le
hôtelée;ɔ.tə.le
hôtelées;ɔ.tə.le
hôtelés;ɔ.tə.le
hôtel;o.tɛl
hôtela;ɔ.tə.la
hôtelai;ɔ.tə.le
hôtelaient;ɔ.tə.lɛ
hôtelais;ɔ.tə.lɛ
hôtelait;ɔ.tə.lɛ
hôtelant;ɔ.tə.lɑ̃
hôtelas;ɔ.tə.la
hôtelasse;ɔ.tə.las
hôtelassent;ɔ.tə.las
hôtelasses;ɔ.tə.las
hôtelassiez;ɔ.tə.la.sje
hôtelassions;ɔ.tə.la.sjɔ̃
hôteler;ɔ.tə.le
hôtelez;ɔ.tə.le
hôtelière;ɔ.tə.ljɛʁ
hôtelières;ɔ.tə.ljɛʁ
hôteliers;ɔ.tə.lje
hôteliez;ɔ.tə.lje
hôtelions;ɔ.tə.ljɔ̃
hôtelle;ɔ.tɛl
hôtellent;ɔ.tɛl
hôtellera;ɔ.tɛ.lə.ʁa
hôtellerai;ɔ.tɛ.lə.ʁe
hôtelleraient;ɔ.tɛ.lə.ʁɛ
hôtellerais;ɔ.tɛ.lə.ʁɛ
hôtellerait;ɔ.tɛ.lə.ʁɛ
hôtelleras;ɔ.tɛ.lə.ʁa
hôtellerez;ɔ.tɛ.lə.ʁe
hôtellerie;o.tɛl.ʁi
hôtelleries;ɔ.tɛl.ʁi
hôtelleriez;ɔ.tɛ.lə.ʁje
hôtellerions;ɔ.tɛ.lə.ʁjɔ̃
hôtellerons;ɔ.tɛ.lə.ʁɔ̃
hôtelleront;ɔ.tɛ.lə.ʁɔ̃
hôtelles;ɔ.tɛl
hôtelons;ɔ.tə.lɔ̃
hôtels;ɔ.tɛl
hôtes;ot
hôtesse;o.tɛs
hôtesses;ɔ.tɛs
hûf;e.ʁi.tʁɔ
hût;e.ʁi.tʁɔ
hüküm;e.pɥi.ze
hür;y.ma
hœli;ɔ.e.li
h;aʃ
hB;ɛk.to.bɛl
hGy;ɛk.tɔ.ɡʁe
hT;a.to.tɛs.la
haï;a.i
haïe;aj
haïes;a.i
haïk;a.ik
haïkiste;a.i.kist
haïkistes;a.i.kist
haïku;aj.ku
haïkus;aj.ku
haïmes;a.im
haïr;a.iʁ
haïra;a.i.ʁa
haïrai;a.i.ʁe
haïraient;a.i.ʁɛ
haïrais;a.i.ʁɛ
haïrait;a.i.ʁɛ
haïras;a.i.ʁa
haïrent;a.iʁ
haïrez;a.i.ʁe
haïriez;a.i.ʁje
haïrions;a.i.ʁjɔ̃
haïrons;a.i.ʁɔ̃
haïront;a.i.ʁɔ̃
haïs;a.i
haïssaient;a.i.sɛ
haïssais;a.i.sɛ
haïssait;a.i.sɛ
haïssant;a.i.sɑ̃
