Lælie;le.li
Lantiérois;lɑ̃.tje.ʁwa
Lantier;lɑ̃.tje
Lanze;ɛɡ.ze.ky.tiv
Lao;la.o
Laocoon;lao.koɔ̃
Laocoontide;lao.koɔ̃.tid
Laocoontides;lao.koɔ̃.tid
Laokoon;lao.koɔ̃
Laomédie;lao.me.di
Laon;lɑ̃
Laos;la.ɔs
Laote;la.tɛk
Laotian;la.o
Laotien;la.ɔ.sjɛ̃
Laotienne;la.ɔ.sjɛn
Laotiennes;la.ɔ.sjɛn
Laotiens;la.ɔ.sjɛ̃
Laotin;la.tɛk
Laphroaigs;ɛks.fil.tʁa.sjɔ̃
Lapimaa;la.o
Lapin;la.pɛ̃
Lapon;la.pɔ̃
Laponie;la.pɔ.ni
Lapons;la.pɔ̃
Lapp;la.o
Laprade;lap.ʁad
Laptop;la.tɛk
Laputien;la.py.tjɛ̃
Laputiens;la.py.tjɛ̃
Laréen;la.ʁe.ɛ̃
Laréenne;la.ʁe.ɛn
Laréennes;la.ʁe.ɛn
Lara;la.ʁa
Laramidie;la.ʁa.mi.di
Larchamp;laʁ.ʃɑ̃
Lardy;laʁ.di
Largentière;laʁ.ʒɑ̃.tjɛʁ
Larissa;la.ʁi.sa
Larix;la.ʁiks
Larnassiennes;laʁ.na.sjɛn
Larochellois;la.ʁɔ.ʃɛ.lwa
Larouchois;la.ʁu.ʃwa
Laroui;la.ʁwi
Larousse;la.ʁus
Larousses;laʁ.mwa.jad
Larré;la.ʁe
Lars;lɑ̃.bɛʁ
Larsen;laʁ.sɛn
Larve;la.tɛk
Laryngograph;ɛɡ.ze.ky.tiv
Lascaux;las.kɔ
Lasson;la.sɔ̃
Lassy;la.si
Lastwagen;la.tɛk
Lasur;la.zyʁ
Laszlo;las.lɔ
Latè;ɛ̃.fi.ni.tyd
Latifa;la.ti.fa
Latii;la.tin
Latin;la.tɛ̃
Latine;la.tin
Latines;la.tin
Latini;la.tin
Latinis;la.tin
Latinorum;la.tin
Latinos;la.tin
Latins;la.tɛ̃
Latinum;la.tin
Latio;la.tin
Lato;labʁø
Latona;labʁø
Latone;la.tɔn
Latte;lɛ.si.nwaz
Latulipien;la.ty.li.pjɛ̃
Latvians;lo.ky.li
Latvija;lɛ.tɔ.ni
Laub;la.tɛk
Laudun;lodœ̃
Laufar;lɑ̃.bɛʁ
Laufari;lɑ̃.bɛʁ
Laufars;lɑ̃.bɛʁ
Launayen;lo.ne.jɛ̃
Laurène;lɔ.ʁɛn
Laura;lɔ.ʁa
Laurane;lo.ʁan
Lauranne;lɔ.ʁan
Laurasia;lo.ʁa.zja
Laurasie;lo.ʁa.zi
Laureà;lakʁuks
Laure;lɔʁ
Laurea;lɔ.ʁɛa
Laureen;lɔ.ʁin
Laurel;lɔ.ʁɛl
Laureline;lɔ.ʁə.lin
Laurelle;lɔ.ʁɛl
Laurellois;lo.ʁɛ.lwa
Lauren;lɔ.ʁɛn
Laurena;lɔ.ʁɛ.na
Laurence;lɔ.ʁɑ̃s
Laurent;lɔ.ʁɑ̃
Laurentides;lɔ.ʁɑ̃.tid
Laurentien;lɔ.ʁɑ̃.sjɛ̃
Lauretta;lɔ.ʁɛ.ta
Laurette;lɔ.ʁɛt
Lauria;lɔ.ʁja
Lauriane;lɔ.ʁjan
Laurianne;lɔ.ʁjan
Laurice;lɔ.ʁis
Lauriervillois;lo.ʁje.vi.lwa
Laurine;lɔ.ʁin
Laury;lɔ.ʁi
Lauryn;lɔ.ʁin
Lauryne;lɔ.ʁin
Lausana;lɔ.zan
Lausanna;lɔ.zan
Lausanne;lɔ.zan
Lausannois;lɔ.za.nwa
Lausois;lo.zwa
Laval;la.val
Lavallois;la.va.lwa
Lavalloise;la.va.lwaz
Lavalloises;la.va.lwaz
Lavalois;la.va.lwa
Laverlochérois;la.vɛʁ.lɔ.ʃe.ʁwa
Lavoisier;la.vwa.zje
Lawrenceville;lɔ.ʁɑ̃s.vil
Lawrencevillois;lɔ.ʁɑ̃s.vi.lwa
Layla;la.ila
Layon;lɛ.jɔ̃
Lazare;la.zaʁ
Lazarien;la.za.ʁjɛ̃
Lazarois;la.za.ʁwa
Learpholl;li.vœʁ.pul
Lebelmontois;lə.bɛl.mɔ̃.twa
Lebelois;lə.bɛ.lwa
Lebowa;le.bo.wa
Lecce;lɛd.ʃɛ
Leclercvillois;lək.lɛʁ.vi.lwa
Lectourois;lɛk.tu.ʁwa
Lee;li
Leedois;li.dwa
Leeds;lidz
Leena;le.na
Leeuwarden;lœ.vaʁ.dən
Lefèbvre;lə.fɛvʁ
Lefèvre;lə.fɛvʁ
Lefébure;lə.fe.byʁ
Lefebvre;lə.fɛvʁ
Lefebvrois;lə.fɛ.vʁwa
Leffard;lɛ.faʁ
Legaldefinition;ɛɡ.ze.ky.tiv
Legastheniker;la.tɛk
Legasthenikerin;la.tɛk
Legislatur;ɛɡ.ze.ky.tiv
Leh;le
Lehnübersetzung;ɛlb
Leila;lɛ.ila
Leir;le.ʒe
Leja;lɛ.ila
Lejca;lɛ.ila
Lejeunois;lə.ʒœ.nwa
Lejina;lɛ.ila
Lejka;lɛ.ila
Lejla;lɛ.ila
Lela;lɛ.ila
Lelija;lɛ.ila
Lelystad;le.li.stad
Lemaître;lə.mɛtʁ
Lemieulois;lə.mjø.lwa
Lemming;la.tɛk
Lemnos;lɛm.nɔs
Lena;le.na
Lenard;lɛ.ila
Lenardo;lɛ.ila
Lenart;lɛ.ila
Lendenwirbel;ɛɡ.ze.ky.tiv
Leno;le.na
Lens;lɑ̃s
Lensoise;lɑ̃.swaz
Lensoises;lɑ̃.swaz
Lento;lɛn.to
Lentois;lɛn.twa
Lentoise;lɛn.twaz
Lentoises;lɛn.twaz
Leodium;ɛks.la.ʃa.pɛl
Leonidas;le.o.ni.das
Lepageois;lə.pa.ʒwa
Lerpwl;li.vœʁ.pul
Lesbien;lɛs.bjɛ̃
Lesbienne;lɛs.bjɛn
Lesbiennes;lɛs.bjɛn
Lesbiens;lɛs.bjɛ̃
Lesbos;lɛs.bos
Lesezeichen;ɛlb
Lesia;lɛ.sja
Leslie;lɛs.li
Lesly;lɛs.li
Lesothan;le.zo.tɑ̃
Lesothane;le.zo.tɑn
Lesothanes;le.zo.tɑn
Lesothans;le.zo.tɑ̃
Lesothien;le.zo.tjɛ̃
Lesothienne;le.zo.tjɛn
Lesothiennes;le.zo.tjɛn
Lesothiens;le.zo.tjɛ̃
Lesotho;le.zo.to
Lessines;lɛ.sin
Lessinois;lɛ.si.nwa
Lessinoise;lɛ.si.nwaz
Lessinoises;lɛ.si.nwaz
Lestenstin;la.o
Lesya;lɛ.sja
Letangeois;lə.tɑ̃.ʒwa
Letellien;lə.tɛ.ljɛ̃
Letland;ɛ̃.fi.ni.te.zi.mal
Letonia;la.o
Lette;la.tɛk
Lettin;la.tɛk
Letton;lɛ.tɔ̃
Lettonia;lɛ.tɔ.ni
Lettonie;lɛ.tɔ.ni
Lettonne;lɛ.tɔn
Lettonnes;lɛ.tɔn
Lettons;lɛ.tɔ̃
Leucoderme;lœ.ko.dɛʁm
Leudeville;lø.də.vil
Leuven;lø.vœn
Lev;lɛv
Leval;lə.val
Levalloisien;lə.va.lwa.zjɛ̃
Levant;lə.vɑ̃
Levantine;lə.vɑ̃.tin
Levantines;lə.vɑ̃.tin
Levantins;lə.vɑ̃.tɛ̃
Levy;le.vi
Lewisham;lu.wi.ʃam
Lexane;lɛ.ksan
Lexovien;lɛk.zɔ.vjɛ̃
Lez;lɛz
Liège;ljɛʒ
Lièvre;ljɛvʁ
Lièvres;ljøz
Liége;ljɛʒ
Liégeois;lje.ʒwa
Liévin;lje.vɛ̃
Li;li
Lia;lja
Liam;ljam
Liancourtois;ljɑ̃.kuʁ.twa
Liancourtoise;ljɑ̃.kuʁ.twaz
Liancourtoises;ljɑ̃.kuʁ.twaz
Liartais;ljaʁ.tɛ
Lias;ljɑs
Libèria;li.be.ʁja
Libération;li.be.ʁa.sjɔ̃
Libéria;li.be.ʁja
Libérie;li.be.ʁja
Libérien;li.be.ʁjɛ̃
Libérienne;li.be.ʁjɛn
Libériennes;li.be.ʁjɛn
Libériens;li.be.ʁjɛ̃
Liban;li.bɑ̃
Libanais;li.ba.nɛ
Libanaise;li.ba.nɛz
Libanaises;li.ba.nɛz
Libanese;la.tɛk
Libanesin;la.tɛk
Libano;li.bɑ̃
Libanon;li.bɑ̃
Libeeria;li.be.ʁja
Liberianer;la.tɛk
Liberianerin;la.tɛk
Liberija;li.be.ʁja
Liberio;li.be.ʁja
Libert;li.bɛʁ
Libia;li.bjɛ̃
Libio;li.bi
Libitine;li.bi.tin
Liboirien;li.bwa.ʁjɛ̃
Liboirois;li.bwa.ʁwa
Libourne;li.buʁn
Libreville;li.bʁə.vil
Libya;li.bjɛ̃
Libye;li.bi
Libyen;li.bjɛ̃
Libyenne;li.bjɛn
Libyennes;li.bjɛn
Libyens;li.bjɛ̃
Lichtènstayn;la.o
Lichtenstenum;la.o
Lichtinstéin;la.o
Licinius;li.ʁa
Licorne;li.kɔʁn
Lido;li.do
Liebestod;ɛ̃.fo.bwat
Liechtenstein;liʃ.tən.ʃtajn
Liechtensteini;la.o
Liechtensteinois;liʃ.tən.ʃtaj.nwa
Liechtensteinoise;liʃ.tən.ʃtaj.nwaz
Liechtensteinoises;liʃ.tən.ʃtaj.nwaz
Liechtensteinska;la.o
Lieja;ɛks.la.ʃa.pɛl
Lierre;ljɛʁ
Lierrois;ljɛ.ʁwa
Lifestyle;ɛɡ.ze.ky.tiv
Liffey;li.fe
Ligérien;li.ʒe.ʁjɛ̃
Liga;ɛɡ.ze.ky.tiv
Liger;le.ʒe
Ligie;li.ʒi
Lignères;li.ɲɛʁ
Lignerolles;li.ɲə.ʁɔl
Lignou;li.ɲu
Liguorien;li.ɡɔ.ʁjɛ̃
Ligurië;li.ɡy.ʁi
Liguri;li.ɡy.ʁi
Liguria;li.ɡy.ʁi
Ligurie;li.ɡy.ʁi
Ligurien;li.ɡy.ʁjɛ̃
Ligurienne;li.ɡy.ʁjɛn
Liguriennes;li.ɡy.ʁjɛn
Liguriens;li.ɡy.ʁjɛ̃
Ligurija;li.ɡy.ʁi
Ligurujo;li.ɡy.ʁi
Ligus;ɛ
Liguscus;ɛ
Ligusticum;ɛks.za.iʁ
Ligusticus;ɛ
Ligustinus;ɛ
Liguuria;li.ɡy.ʁi
Lihtenshtajni;la.o
