Bâle;bɑl
Bajc;bɑ̃.du.jɔ̃
Bajocien;ba.ʒɔ.sjɛ̃
Baka;ba.ka
Bakata;ba.ka.ta
Bakeland;ba.kə.land
Bakou;ba.ku
Bakterienkunde;bu.lɔ.dʁɔm
Bakteriologie;bu.lɔ.dʁɔm
Baktrija;bɔk.si.ti.zə.ʁɛ
Baku;ba.ku
Balé;ba.lɛ
Baléares;ba.le.aʁ
Balanais;ba.la.nɛ
Balance;ba.lɑ̃s
Balavé;ba.la.le
Balazéen;ba.la.ze.ɛ̃
Balazucain;ba.la.zy.kɛ̃
Baldvine;ba.la.di
Baldvini;ba.la.di
Baldvinih;ba.la.di
Baldvinom;ba.la.di
Baldvinoma;ba.la.di
Baldvinov;ba.la.di
Baleare;ba.la.di
Balearih;ba.la.di
Balearom;ba.la.di
Balearov;ba.la.di
Baleine;ba.lɛn
Baleinois;ba.lɛ.nwa
Balgencien;bal.ʒɑ̃.sjɛ̃
Bali;ba.li
Balija;ba.lɛt
Balijem;ba.lɛt
Baliju;ba.lɛt
Balinais;ba.li.nɛ
Balinaise;ba.li.nɛz
Balinaises;ba.li.nɛz
Balkana;ba.lɛt
Balkanom;ba.lɛt
Balkans;bal.kɑ̃
Balkanu;ba.lɛt
Balkon;bʁa.zi.ljɛ̃
Ballée;ba.le
Balléen;baleɛ̃
Balladur;ba.la.dyʁ
Ballainvilliers;ba.lɛ̃.vi.lje
Ballainvillois;ba.lɛ̃.vi.lwa
Ballainvilloise;ba.lɛ̃.vi.lwaz
Ballainvilloises;ba.lɛ̃.vi.lwaz
Ballancourtois;ba.lɑ̃.kuʁ.twa
Ballancourtoise;ba.lɑ̃.kuʁ.twaz
Ballancourtoises;ba.lɑ̃.kuʁ.twaz
Balleroy;ba.lə.ʁwa
Balloy;ba.lwa
Ballungsraum;bu.jɔ̃
Balma;balma
Balmy;bal.mi
Balnéolais;bal.neɔ.lɛ
Baloutchistan;ba.lu.tʃis.tɑ̃
Balsac;balsak
Balta;ba.lɛt
Baltarusija;be.la.ʁys
Balte;balt
Baltes;balt
Balthazar;bal.ta.zaʁ
Balthazarja;balt
Balthazarje;balt
Balthazarjem;balt
Balthazarjema;balt
Balthazarjev;balt
Balthazarji;balt
Balthazarjih;balt
Balthazarju;balt
Balti;balt
Baltih;balt
Baltik;bal.ta.zaʁ
Baltika;balt
Baltikom;balt
Baltiku;balt
Baltinj;balt
Baltinja;bal.ta.zaʁ
Baltinjah;balt
Baltinjam;balt
Baltinjama;balt
Baltinjami;balt
Baltinje;balt
Baltinji;balt
Baltinjo;balt
Baltique;bal.tik
Baltom;balt
Baltoma;balt
Baltov;balt
Baltu;balt
Bam;bam
Bama;ba.ma
Bamako;ba.ma.ko
Bamakois;ba.ma.kwa
Bamakoise;ba.ma.kwaz
Bamakoises;ba.ma.kwaz
Bambara;bɑ̃.ba.ʁa
Bambaras;bɑ̃.ba.ʁa
Bambi;bɑ̃.bi
Bamiléké;ba.mi.le.ke
Bané;ba.ne
Bana;ba.na
Bananenmilch;ba.bi
Banat;ba.nat
Bandol;bɑ̃.dɔl
Bandolais;bɑ̃.dɔ.lɛ
Bandolaise;bɑ̃.dɔ.lɛz
Bandolaises;bɑ̃.dɔ.lɛz
Bandundu;ban.dun.du
